No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN,R,pop,R_index
0,Aberdeen,Scotland,57.15,-2.15,57.202,-2.198,30910.0,99999.0,2.43187961228,997.3946,7.29394192811235
1,Adelaide,Australia,-34.916666666666664,138.6,-34.917,138.61700000000002,946750.0,99999.0,1.8947073280900002,1947.089,6.232845888703467
2,Algiers,Algeria,36.833333333333336,3.0,36.783,3.0,603720.0,99999.0,3.51129998312,7923.798000000002,13.69051720447741
3,Amsterdam,Netherlands,52.36666666666667,4.883333333333333,52.309,4.7639999999999985,62400.0,99999.0,2.5955253561099996,958.3389,7.7397840797782544
4,Ankara,Turkey,39.91666666666666,32.916666666666664,39.95,32.883,171300.0,99999.0,1.88917528932,3006.8720000000008,6.5710416155856555
5,Asuncion,Paraguay,-25.25,-57.66666666666666,-25.24,-57.519,862180.0,99999.0,1.2493735138200002,2652.073,4.277541568284243
6,Athens,Greece,37.96666666666667,23.716666666666665,37.882,23.735,167160.0,99999.0,1.8074982883500001,3641.986,6.43732833934969
7,Auckland,New Zealand,-36.86666666666667,174.75,-37.0,174.8,931100.0,99999.0,1.56182658963,2352.75,5.266104941977713
8,Bangkok,Thailand,13.75,100.5,13.733,100.567,484550.0,99999.0,1.09730502276,17298.41,4.65041302297137
9,Barcelona,Spain,41.38333333333333,2.15,41.417,2.133,81800.0,99999.0,1.68793279252,13835.16,6.98975598423982
10,Beijing,China,39.91666666666666,116.41666666666669,40.08,116.585,545110.0,99999.0,2.7297603521099996,1031.196,8.226848487118117
11,Belem,Brazil,-1.4666666666666668,-48.48333333333333,-1.4169999999999998,-48.433,816800.0,99999.0,1.0012666724400001,5089.703,3.7114730335510484
12,Belfast,Northern Ireland,54.61666666666667,-5.933333333333334,54.618,-5.872999999999998,39240.0,99999.0,2.5897516566,2225.252,8.669386147620068
13,Belgrade,Serbia,44.86666666666667,20.53333333333333,44.8,20.467,132740.0,99999.0,2.28097273081,7956.94,8.897619934695335
14,Berlin,Germany,52.5,13.416666666666664,52.56,13.288,103820.0,99999.0,2.26108332787,3808.635,8.096675682529517
15,Birmingham,England,52.41666666666666,-1.9166666666666663,52.45399999999999,-1.7480000000000002,35340.0,99999.0,2.52393587572,93.37722,4.984438126655655
16,Bogota,Colombia,4.533333333333333,-74.25,4.702,-74.14699999999998,802220.0,99999.0,1.75421121168,6283.642,6.662986314446119
17,Bombay,India,19.0,72.8,19.089,72.868,430030.0,99999.0,1.7360670610900002,28063.6,7.72230207356742
18,Bordeaux,France,44.83333333333334,-0.5166666666666667,44.828,-0.716,75100.0,99999.0,2.09197568019,886.4697,6.167465495207984
19,Bremen,Germany,53.08333333333334,8.816666666666666,53.048,8.787,102240.0,99999.0,2.60377993353,1625.7179999999996,8.361550454813168
20,Brisbane,Australia,-27.48333333333333,153.13333333333333,-27.417,153.067,945780.0,99999.0,1.2955976124200002,2208.305,4.332809668414121
21,Bristol,England,51.46666666666667,-2.583333333333333,51.383,-2.719,37243.0,99999.0,2.53824350584,235.375,6.024778699060432
22,Brussels,Belgium,50.86666666666667,4.366666666666666,50.8,4.35,64470.0,99999.0,2.6716264482,8671.658000000001,10.521271629696672
23,Bucharest,Romania,44.41666666666666,26.11666666666667,44.417,26.1,154220.0,99999.0,2.4314164540900003,8773.603000000001,9.587628168024281
24,Budapest,Hungary,47.5,19.08333333333333,47.433,19.183,128430.0,99999.0,2.2955034944599997,2683.057,7.870803408305294
25,Buenos Aires,Argentina,-34.583333333333336,-58.36666666666667,-34.559,-58.416,875820.0,99999.0,1.2980562422600002,17808.01,5.517569497138061
26,Cairo,Egypt,30.03333333333333,31.35,30.122,31.406,623660.0,99999.0,2.3796359805900003,2920.046,8.24671985972053
27,Calcutta,India,22.566666666666666,88.4,22.533,88.333,428070.0,99999.0,1.68963562236,29937.7,7.5632026267960955
28,Canton,China,23.11666666666667,113.25,23.392,113.299,592870.0,99999.0,1.39411043379,1052.832,4.2140771225385985
29,Cape Town,South Africa,-33.916666666666664,18.366666666666667,-33.933,18.417,688190.0,99999.0,1.9770980708,2102.78,6.569897526066806
30,Caracas,Venezuela,10.466666666666667,-67.03333333333333,10.603,-66.991,804150.0,99999.0,1.19077192847,410.1387,3.112663958447736
31,Cayenne,French Guiana,4.816666666666666,-52.3,4.82,-52.36,814050.0,99999.0,1.35158894463,288.9242,3.327996464765119
32,Chihuahua,Mexico,28.61666666666667,-106.08333333333331,28.633000000000006,-106.083,762250.0,99999.0,2.7623842019300002,4161.203,9.997961389330214
33,Chongqing,China,29.766666666666666,106.56666666666666,29.719,106.642,575160.0,99999.0,1.7094658433599998,703.6548,4.868518403490815
34,Copenhagen,Denmark,55.66666666666666,12.566666666666665,55.618,12.656,61800.0,99999.0,2.6870562200599997,681.3542,7.615143846332409
35,Dakar,Senegal,14.666666666666664,-17.466666666666665,14.74,-17.49,616410.0,99999.0,1.31792210497,17154.54,5.580615150613496
36,Darwin,Australia,-12.466666666666667,130.85,-12.415,130.877,941200.0,99999.0,1.1208168041,960.2501,3.3432131587479317
37,Djibouti,Djibouti,11.5,43.05,11.55,43.133,631252.0,99999.0,1.32469974177,3439.261,4.68492170393095
38,Dublin,Ireland,53.33333333333334,-6.25,53.42100000000001,-6.27,39690.0,99999.0,2.51966156814,345.5192,6.3992532791355465
39,Durban,South Africa,-29.88333333333333,30.88333333333333,-29.97,30.951,685880.0,99999.0,1.29299500584,2881.934,4.473548988195305
40,Edinburgh,Scotland,55.91666666666666,-3.1666666666666665,55.933,-3.35,31660.0,99999.0,2.56806002687,45.53886,4.283050936009506
41,Frankfurt,Germany,50.11666666666667,8.683333333333334,50.026,8.543,106370.0,99999.0,2.44317572107,1712.43,7.900903792014254
42,Georgetown,Guyana,6.75,-58.25,6.8,-58.15,810010.0,99999.0,0.944863647183,3654.612,3.366511469451239
43,Glasgow,Scotland,55.83333333333334,-4.25,55.872,-4.433,31400.0,99999.0,2.6050413338,2038.711,8.621563099079484
44,Guatemala City,Guatemala,14.616666666666667,-90.51666666666668,14.583,-90.527,786410.0,99999.0,1.52321713354,2982.488,5.29275958106782
45,Guayaquil,Ecuador,-2.1666666666666665,-79.93333333333334,-2.157,-79.884,842030.0,99999.0,1.3329232975299998,1303.387,4.15259785423158
