aera,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,2020/4/13,2020/4/14,2020/4/15,2020/4/16,
Korea,10054,10132,10210,10287,10363,10439,10514,10589,10664,10737,10810,10883,10955,11027,
Japan,2676,2873,3087,3318,3567,3834,4120,4425,4749,5092,5453,5832,6228,6640,
Iran,49967,51707,53018,54031,54831,55475,56000,56432,56789,57084,57330,57533,57702,57842,
Itay,115320,119191,123062,126740,129934,132831,135455,137829,139975,141915,143667,145249,146677,147966,
America,234383,253816,271279,286561,299623,310555,319538,326807,332609,337190,340771,343549,345689,347329,
German,81622,85103,88324,91297,94035,96553,98865,100986,102930,104711,106342,107835,109200,110449,
Switzerland,18466,19117,19724,20288,20812,21300,21754,22176,22569,22933,23273,23588,23881,24153,
Sweden,5408,5906,6439,7007,7609,8243,8909,9604,10324,11067,11827,12602,13385,14171,
Spain,110053,115445,120294,124618,128446,131814,134763,137334,139567,141501,143172,144612,145852,146918,
U.K.,33737,37695,41641,45478,49118,52487,55535,58233,60574,62569,64241,65623,66753,67666,
Netherland,14491,15205,15832,16377,16843,17239,17572,17851,18084,18276,18436,18568,18676,18766,
Belgium,14904,15714,16389,16940,17379,17723,17990,18195,18351,18470,18559,18627,18679,18718,
Greece,1546,1646,1726,1805,1882,1960,2041,2127,2219,2318,2426,2543,2670,2808,
Norway,5265,5640,5995,6336,6670,7001,7334,7672,8019,8376,8746,9131,9531,9949,
Austria,11474,11812,12162,12306,12450,12637,12825,13028,13246,13480,13729,13994,14276,14574,
Austrialia,5505,5983,6461,6955,7406,7862,8333,8827,9352,9910,10506,11141,11817,12531,
Brazil,7445,8474,9607,10837,12158,13557,15019,16526,18055,19584,21090,22549,23942,25252,
Denmark,3469,3655,3846,4044,4247,4455,4668,4886,5108,5335,5565,5799,6036,6276,
Canada,11092,12557,14110,15730,17391,19065,20724,22341,23892,25358,26724,27980,29123,30153,
Luxembourg,2481,2554,2629,2659,2689,2730,2770,2814,2862,2914,2969,3028,3092,3160,
Russia,3364,4008,4693,5518,6403,7352,8348,9373,10408,11431,12425,13376,14271,15104,
Qatar,883,933,986,1039,1094,1149,1205,1261,1317,1374,1431,1487,1544,1601,
France,63096,68437,73668,78698,83452,87877,91935,95607,98891,101797,104342,106555,108463,110098,
Ireland,3947,4483,5059,5676,6334,7031,7762,8522,9304,10100,10901,11697,12480,13239,
Portugal,883,933,986,1039,1094,1149,1205,1261,1317,1374,1431,1487,1544,1601,
Turkey,20565,24996,28760,31958,34675,36984,38945,40611,42026,43229,44250,45118,45856,46482,
Israel,6706,7318,7925,8521,9104,9671,10222,10755,11269,11764,12240,12697,13135,13556,
Estonia,863,955,1055,1165,1284,1414,1556,1710,1877,2058,2253,2463,2689,2930,
Czech,4046,4544,5086,5671,6299,6969,7679,8424,9201,10003,10825,11657,12494,13327,
Slovenia,900,962,1028,1096,1167,1241,1317,1397,1479,1564,1651,1742,1834,1929,
Finland,1643,1788,1974,2167,2360,2607,2855,3122,3406,3708,4027,4364,4718,5087,
Bahrain,591,613,635,658,681,704,727,750,774,797,821,845,869,894,
