aera,2020/4/26,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7
Japan,13518,14176,14824,15459,16081,16688,17279,17853,18409,18946,19464,19962
Iran,88613,89813,91012,91401,92166,92908,93627,94321,94989,95631,96248,96840
Itay,194918,196986,199053,200598,202179,203636,204973,206196,207311,208326,209247,210081
America,944677,962621,979046,993985,1007503,1019683,1030621,1040416,1049167,1056972,1063922,1070106
German,155457,156298,157072,157785,158441,159045,159601,160114,160585,161020,161419,161788
Switzerland,28778,28866,28943,29010,29069,29119,29164,29202,29235,29264,29289,29311
Sweden,18038,18492,18930,19352,19759,20151,20530,20896,21248,21587,21914,22228
Spain,222172,224373,226371,228186,229837,231340,232710,233961,235103,236148,237105,237983
U.K.,148647,152253,155512,158472,161175,163654,165934,168037,169980,171777,173440,174977
Netherland,37366,37962,38516,39031,39507,39947,40353,40727,41072,41389,41680,41948
Belgium,45600,46791,47879,48879,49800,50653,51447,52188,52882,53534,54150,54733
Norway,7536,7597,7670,7742,7814,7875,7937,7997,8054,8108,8161,8211
Austria,15108,15144,15179,15209,15237,15263,15288,15310,15331,15350,15367,15384
Brazil,55000,56977,58924,60841,62728,64583,66407,68199,69959,71688,73385,75051
Denmark,8525,8638,8746,8850,8951,9047,9140,9230,9316,9398,9478,9554
Canada,45696,46826,47914,48962,49970,50940,51872,52767,53626,54451,55242,56000
Luxembourg,3721,3737,3757,3777,3796,3810,3825,3839,3851,3863,3874,3884
Russia,74192,79482,84567,88833,92648,95942,98742,101089,103032,104623,105914,106952
Qatar,9323,10194,11137,12149,13227,14369,15570,16826,18131,19478,20859,22268
France,161280,162525,163592,164507,165291,165964,166540,167034,167457,167820,168131,168398
Ireland,18728,19251,19754,20238,20706,21157,21592,22011,22415,22804,23177,23536
Portugal,9323,10194,11137,12149,13227,14369,15570,16826,18131,19478,20859,22268
Turkey,108206,111413,114535,117575,120534,123415,126219,128950,131608,134195,136714,139167
Israel,15241,15415,15579,15734,15881,16020,16152,16276,16394,16505,16611,16710
Estonia,1627,1650,1672,1693,1715,1735,1756,1776,1796,1816,1835,1854
Czech,7340,7443,7546,7647,7747,7846,7944,8041,8137,8232,8326,8419
Slovenia,1387,1401,1414,1427,1439,1451,1463,1475,1486,1496,1507,1517
Finland,4540,4627,4742,4855,4969,5075,5183,5288,5391,5493,5593,5692
Bahrain,2586,2664,2741,2817,2891,2965,3036,3107,3176,3244,3311,3376
