aera,2020/3/29,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,
Korea,9376,9395,9412,9427,9440,9451,9462,9471,9479,9486,9492,9498,9503,9508,
Japan,1576,1659,1746,1838,1935,2038,2145,2259,2378,2503,2635,2772,2916,3067,
Iran,34994,37275,39285,41098,42763,44309,45752,47099,48354,49517,50587,51565,52454,53254,
Itay,93168,99532,105488,110965,115924,120352,124257,127665,130610,133137,135288,137110,138644,139931,
America,119484,133863,146564,157364,166269,173434,179085,183474,186840,189397,191325,192769,193846,194647,
German,56223,61398,66289,70801,74872,78470,81592,84258,86505,88379,89928,91200,92239,93085,
Switzerland,13803,14592,15302,15938,16507,17015,17470,17876,18239,18563,18853,19111,19342,19548,
Sweden,3406,3774,4174,4608,5078,5584,6127,6708,7325,7980,8669,9390,10141,10917,
Spain,70872,75447,79467,82979,86037,88695,91003,93005,94743,96250,97557,98690,99673,100526,
U.K.,17142,19724,22410,25116,27758,30261,32562,34622,36419,37951,39230,40279,41126,41800,
Netherland,9813,11065,12379,13737,15114,16487,17832,19127,20352,21493,22541,23489,24337,25088,
Belgium,8394,9625,10966,12399,13900,15443,16999,18536,20024,21437,22754,23960,25047,26010,
Greece,1063,1153,1236,1308,1380,1452,1527,1607,1692,1785,1887,1999,2122,2258,
Norway,4074,4406,4748,5099,5457,5818,6182,6547,6909,7267,7619,7963,8297,8622,
Austria,8612,9503,10337,11105,11873,12556,13314,14109,14944,15816,16717,17637,18564,19485,
Austrialia,3786,4351,4916,5630,6338,7097,7911,8781,9703,10671,11677,12708,13753,14798,
Brazil,4247,5196,6288,7539,8957,10539,12270,14124,16062,18038,20001,21897,23682,25319,
Denmark,2356,2519,2688,2865,3048,3238,3437,3642,3856,4077,4306,4541,4784,5033,
Canada,5638,6541,7475,8424,9377,10324,11257,12171,13062,13928,14768,15580,16365,17123,
Luxembourg,1857,2063,2281,2494,2706,2887,3072,3251,3425,3594,3757,3916,4069,4216,
Russia,1325,1667,2047,2581,3206,3942,4788,5736,6770,7868,9000,10140,11258,12332,
Qatar,572,582,594,605,618,631,644,658,673,688,704,721,738,756,
