aera,2020/3/30,2020/3/31,2020/4/1,2020/4/2,2020/4/3,2020/4/4,2020/4/5,2020/4/6,2020/4/7,2020/4/8,2020/4/9,2020/4/10,2020/4/11,2020/4/12,,
Korea,9598,9611,9623,9633,9641,9649,9655,9661,9666,9670,9674,9677,9680,9682,,
Japan,1874,2150,2551,3110,3851,4786,5901,7165,8528,9942,11359,12746,14076,15334,,
Iran,38039,40409,42591,44627,46537,48325,49988,51523,52926,54198,55342,56365,57276,58083,,
Itay,99572,106263,112467,118129,123218,127729,131675,135088,138009,140486,142570,144310,145756,146951,,
America,143330,164076,184249,203317,220922,236878,251140,263766,274870,284593,293086,300491,306943,312560,,
German,63824,69768,75432,80742,85649,90122,94152,97744,100918,103700,106122,108217,110022,111570,,
Switzerland,15481,16811,18061,19226,20304,21294,22199,23022,23768,24442,25049,25596,26086,26526,,
Sweden,3804,4199,4630,5097,5603,6146,6728,7346,8001,8691,9413,10164,10940,11736,,
Spain,81156,88834,96177,103069,109416,115161,120281,124785,128703,132081,134975,137439,139532,141305,,
U.K.,20406,23842,27572,31527,35617,39739,43783,47646,51240,54501,57388,59888,62010,63779,,
Netherland,11156,12543,13973,15421,16859,18261,19600,20856,22014,23062,23998,24822,25540,26157,,
Belgium,10512,11956,13427,14890,16313,17670,18946,20130,21217,22209,23109,23922,24654,25313,,
Greece,1163,1257,1343,1417,1490,1563,1638,1718,1803,1896,1997,2107,2228,2361,,
Singapore,851,900,949,997,1045,1093,1140,1186,1231,1276,1320,1364,1406,1448,,
Philippines,1251,1458,1697,1968,2267,2594,2943,3308,3682,4057,4424,4778,5111,5418,,
Norway,4397,4772,5146,5522,5906,6301,6710,7136,7581,8044,8527,9027,9543,10074,,
Austria,9286,10128,10938,11663,12388,12963,13625,14315,15037,15791,16574,17379,18198,19022,,
Austrialia,4265,4823,5380,5938,6520,7149,7838,8596,9429,10337,11320,12370,13475,14622,,
Pakistan,1664,1860,2083,2333,2613,2924,3267,3642,4053,4498,4977,5492,6039,6617,,
Brazil,4723,5654,6717,7921,9272,10766,12389,14120,15928,17774,19617,21414,23125,24716,,
Denmark,2530,2704,2885,3075,3272,3476,3688,3906,4130,4359,4594,4833,5075,5321,,
Canada,6777,8153,9707,11429,13297,15277,17325,19390,21420,23369,25197,26877,28393,29738,,
Luxembourg,2058,2233,2398,2534,2670,2785,2925,3076,3241,3418,3607,3807,4014,4228,,
Malaysia,2625,2881,3136,3482,3805,4140,4484,4834,5187,5540,5888,6229,6560,6877,,
Thailand,1503,1777,2075,2398,2747,3120,3513,3920,4333,4746,5149,5536,5900,6235,,
Russia,1580,1942,2336,2857,3452,4138,4914,5776,6715,7714,8755,9814,10869,11899,,
Qatar,600,610,620,631,641,651,661,671,681,690,700,710,720,729,,
