aera,2020/4/27,2020/4/28,2020/4/29,2020/4/30,2020/5/1,2020/5/2,2020/5/3,2020/5/4,2020/5/5,2020/5/6,2020/5/7,2020/5/8,2020/5/9,2020/5/10
Japan,13880,14532,15170,15792,16400,16990,17563,18117,18653,19170,19667,20144,20601,21038
Iran,89751,90924,92097,92483,93232,93957,94659,95335,95987,96613,97213,97789,98341,98869
Itay,196962,198925,200888,202136,203538,204832,206022,207116,208120,209038,209878,210644,211343,211980
America,954753,971439,986674,1000513,1013036,1024337,1034512,1043656,1051864,1059222,1065813,1071714,1076994,1081717
German,156983,157472,157911,158307,158667,158994,159292,159563,159811,160038,160246,160437,160612,160773
Switzerland,28989,29068,29134,29188,29233,29270,29301,29327,29348,29366,29380,29392,29402,29410
Sweden,18697,19195,19671,20126,20561,20977,21375,21755,22118,22466,22798,23115,23418,23708
Spain,226323,228680,230845,232834,234661,236341,237883,239301,240603,241800,242899,243909,244837,245690
U.K.,153545,157227,160599,163666,166443,168949,171208,173239,175065,176705,178176,179497,180680,181742
Netherland,37980,38536,39052,39530,39972,40381,40757,41104,41423,41717,41987,42234,42462,42670
Belgium,46672,47932,49107,50203,51220,52164,53037,53843,54585,55267,55892,56465,56990,57468
Norway,7578,7633,7700,7766,7832,7888,7945,7999,8051,8100,8148,8194,8237,8279
Austria,15355,15559,15760,15957,16150,16340,16527,16711,16891,17068,17242,17413,17581,17746
Brazil,61327,63426,65488,67511,69493,71434,73334,75193,77011,78791,80531,82234,83899,85528
Denmark,8802,8961,9122,9283,9444,9606,9768,9930,10092,10255,10418,10580,10743,10906
Canada,46620,47708,48757,49765,50734,51666,52560,53418,54242,55032,55790,56516,57212,57878
Luxembourg,3726,3739,3752,3764,3774,3784,3792,3801,3808,3815,3821,3826,3831,3836
Russia,79169,83507,87667,91161,94309,97059,99435,101466,103189,104637,105848,106853,107684,108368
Qatar,10249,11221,12270,13394,14586,15840,17150,18507,19902,21324,22765,24214,25661,27098
France,162804,163816,164698,165468,166139,166724,167235,167680,168068,168406,168701,168958,169183,169378
Ireland,19082,19583,20065,20528,20975,21405,21819,22218,22600,22968,23320,23657,23979,24286
Portugal,10249,11221,12270,13394,14586,15840,17150,18507,19902,21324,22765,24214,25661,27098
Turkey,111003,114148,117210,120190,123090,125914,128663,131338,133943,136478,138946,141349,143687,145964
Israel,15563,15821,16073,16318,16556,16788,17014,17234,17448,17656,17859,18057,18249,18436
Estonia,1656,1677,1697,1717,1737,1756,1776,1794,1813,1831,1849,1867,1885,1902
Czech,7455,7557,7658,7758,7857,7954,8051,8147,8242,8336,8428,8520,8611,8701
Slovenia,1400,1411,1422,1432,1441,1450,1458,1466,1474,1481,1487,1493,1499,1505
Finland,4652,4740,4871,5003,5134,5263,5391,5519,5645,5771,5896,6020,6144,6266
Bahrain,2677,2766,2855,2942,3029,3114,3199,3284,3367,3450,3532,3613,3693,3772
