Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/02/27,245.0,1470.0,0.0,0.0,75.0,0.0,170.0,215.0,276.0,1395.0,1546.0,2020-02-27,245.0,0.0,75.0
2020/02/28,579.5573709110048,1588.3293023726878,334.5573709110048,118.32930237268783,107.35046854847529,32.35046854847529,472.2069023625295,533.0,627.0,1510.9750000000022,1667.0,2020-02-28,388.0,143.0,107.0
2020/02/29,885.5424074453332,1905.340963361018,305.9850365343284,317.0116609883303,166.10253438336466,58.752065834889365,719.4398730619686,828.0,944.0,1820.0,1991.0,2020-02-29,593.0,205.0,166.0
2020/03/01,1219.0955052403274,2399.8461615207198,333.5530977949942,494.50519815970165,248.9627209256031,82.86018654223844,970.1327843147243,1151.0,1288.0,2304.0,2496.0,2020-03-01,978.0,385.0,229.0
2020/03/02,1620.5417650174359,3081.245634080427,401.4462597771085,681.3994725597072,358.247011235245,109.2842903096419,1262.2947537821908,1542.0,1700.0,2973.0,3191.0,2020-03-02,1501.0,523.0,357.0
2020/03/03,2124.8704614670687,3977.965221080818,504.32869644963284,896.7195870003911,499.51909724144963,141.27208600620463,1625.3513642256191,2035.0,2216.0,3855.0,4102.0,2020-03-03,2336.0,835.0,368.0
2020/03/04,2767.167848408262,5130.753497203234,642.2973869411935,1152.7882761224155,681.0738643240709,181.55476708262125,2086.093984084191,2664.0,2871.0,4991.0,5272.0,2020-03-04,2922.0,586.0,644.0
2020/03/05,3585.1085394076163,6587.415116685976,817.940690999354,1456.661619482742,913.8276749613852,232.75381063731436,2671.280864446231,3468.0,3703.0,6429.0,6747.0,2020-03-05,3513.0,591.0,846.0
2020/03/06,4619.325697515532,8396.70535956256,1034.2171581079156,1809.2902428765847,1211.348285958288,297.52061099690275,3407.9774115572436,4487.0,4753.0,8218.0,8577.0,2020-03-06,4747.0,1234.0,1037.0
2020/03/07,5911.773020065089,10599.878363240285,1292.4473225495576,2203.1730036777244,1589.8219259659231,378.47364000763514,4321.951094099166,5762.0,6063.0,10399.0,10802.0,2020-03-07,5823.0,1076.0,1814.0
2020/03/08,6283.474725075423,17942.89706095384,371.70170501033317,7343.018697713556,1930.0915768437396,340.2696508778165,4353.383148231683,6129.0,6439.0,17680.0,18206.0,2020-03-08,6566.0,743.0,2328.0
2020/03/09,6942.606808427394,24372.011673294328,659.1320833519712,6429.114612340487,2284.138279014788,354.04670217104854,4658.468529412606,6780.0,7106.0,24067.0,24679.0,2020-03-09,7161.0,595.0,2631.0
2020/03/10,7831.605124328915,29708.0085943132,888.998315901521,5335.996921018872,2670.5493918059074,386.4111127911192,5161.0557325230075,7659.0,8005.0,29370.0,30046.0,2020-03-10,8042.0,881.0,3022.0
2020/03/11,8891.794437845532,33954.71372624893,1060.1893135166174,4246.705131935727,3102.0383424054717,431.4889505995643,5789.756095440061,8707.0,9077.0,33593.0,34316.0,2020-03-11,9000.0,958.0,3313.0
2020/03/12,10070.12725171005,37233.64784188597,1178.3328138645174,3278.934115637043,3586.085830614537,484.04748820906525,6484.041421095513,9874.0,10267.0,36856.0,37613.0,2020-03-12,10075.0,1075.0,3705.0
2020/03/13,11322.544910251201,39715.542268756304,1252.4176585411515,2481.8944268703344,4125.913705462189,539.8278748476519,7196.631204789012,11115.0,11532.0,39326.0,40107.0,2020-03-13,11364.0,1289.0,3790.0
2020/03/14,12614.603819100086,41572.92774496117,1292.058908848885,1857.385476204865,4721.527971094807,595.6142656326183,7893.075848005279,12395.0,12835.0,41173.0,41974.0,2020-03-14,12729.0,1365.0,4950.0
2020/03/15,13920.52692587713,42956.26420476072,1305.9231067770434,1383.3364597995533,5370.662450717727,649.1344796229196,8549.864475159404,13690.0,14152.0,42551.0,43363.0,2020-03-15,13938.0,1209.0,5314.0
2020/03/16,14991.0,43986.51067076679,1070.4730741228705,1030.246466006065,5849.0,478.33754928227336,9142.0,14752.0,15231.0,43575.0,44398.0,2020-03-16,14991.0,1053.0,5849.0
2020/03/17,16278.487559071698,44514.83413130556,1287.4875590716983,528.3234605387697,6592.435951903711,743.4359519037107,9686.051607167989,16029.0,16529.0,44101.0,44929.0,,,,
2020/03/18,17530.487388230104,44951.63795552812,1251.9998291584052,436.80382422255934,7375.8081962124825,783.3722443087718,10154.679192017622,17272.0,17790.0,44537.0,45368.0,,,,
2020/03/19,18744.914925748424,45313.55164359594,1214.4275375183206,361.913688067827,8193.307868044945,817.4996718324628,10551.607057703479,18477.0,19014.0,44897.0,45732.0,,,,
2020/03/20,19920.44184731082,45614.255160736226,1175.5269215623957,300.7035171402822,9039.43878793061,846.1309198856652,10881.00305938021,19644.0,20197.0,45196.0,46033.0,,,,
2020/03/21,21056.342741133958,45864.92254456853,1135.9008938231382,250.66738383230404,9909.045168186065,869.6063802554545,11147.297572947893,20772.0,21341.0,45446.0,46285.0,,,,
2020/03/22,22152.368015310432,46074.64048683964,1096.0252741764743,209.7179422711124,10797.326375341965,888.2812071559001,11355.041639968467,21861.0,22445.0,45655.0,46495.0,,,,
2020/03/23,23208.639440360537,46250.78057885256,1056.2714250501049,176.14009201291628,11699.842013856774,902.5156385148093,11508.797426503763,22911.0,23508.0,45830.0,46672.0,,,,
2020/03/24,24225.565660125932,46399.31782460214,1016.9262197653952,148.53724574958324,12612.509389102386,912.6673752456118,11613.056271023546,23921.0,24531.0,45977.975000000006,46822.0,,,,
2020/03/25,25203.774245902492,46525.0966007365,978.2085857765596,125.77877613435703,13531.595417736622,919.0860286342358,11672.17882816587,24894.0,25515.0,46104.0,46949.0,,,,
2020/03/26,26144.05731438044,46632.04934747167,940.2830684779474,106.9527467351727,14453.704553745021,922.1091360083992,11690.352760635418,25828.0,26461.0,46209.0,47057.0,,,,
2020/03/27,27047.328255833934,46723.37420682542,903.2709414534947,91.32485935375007,15375.763931584528,922.0593778395069,11671.564324249406,26726.0,27370.0,46301.0,47147.0,,,,
2020/03/28,27914.58739641192,46801.67832045607,867.2591405779858,78.30411363064923,16295.00671060081,919.2427790162819,11619.58068581111,27587.0,28243.0,46378.0,47227.0,,,,
2020/03/29,28746.894818697685,46869.092933588465,832.3074222857649,67.41461313239415,17208.954365967646,913.9476553668355,11537.94045273004,28415.0,29079.0,46445.0,47294.0,,,,
2020/03/30,29545.348915862007,46927.36559307938,798.4540971643219,58.27265949091816,18115.39848857164,906.4441226039962,11429.950427290365,29209.0,29883.0,46502.0,47352.0,,,,
2020/03/31,30311.069528632805,46977.933873780035,765.7206127707977,50.568280700652394,19012.382518622704,896.9840300510623,11298.6870100101,29971.0,30653.0,46553.0,47403.0,,,,
2020/04/01,31045.184719343997,47021.984387232515,734.1151907111926,44.05051345247921,19898.183734774957,885.8012161522529,11147.00098456904,30700.0,31391.0,46598.0,47446.0,,,,
2020/04/02,31748.8204570691,47060.50000865307,703.6357377251043,38.51562142055627,20771.295720103924,873.1119853289674,10977.524736965177,31400.0,32099.0,46636.0,47487.0,,,,
2020/04/03,32423.092616448877,47094.297745978816,674.272159379776,33.7977373257454,21630.41146923144,859.1157491275153,10792.681147217438,32071.0,32776.0,46670.0,47521.0,,,,
2020/04/04,33069.100824526344,47124.05915240981,646.0082080774664,29.76140643099643,22474.407243036683,843.9957738052435,10594.69358148966,32713.0,33425.0,46698.0,47550.0,,,,
2020/04/05,33687.92378144154,47150.354801061185,618.8229569151954,26.295648651372176,23302.32723929551,827.9199962588282,10385.596542146028,33328.0,34048.0,46726.0,47575.0,,,,
2020/04/06,34280.61574974535,47173.66405575026,592.6919683038141,23.309254689076624,24113.369121464977,811.0418821694657,10167.246628280376,33919.0,34644.0,46749.0,47599.0,,,,
2020/04/07,34848.20398435288,47194.3910658073,567.5882346075232,20.72701005703857,24906.870414299203,793.5012928342258,9941.333570053674,34483.0,35215.0,46770.0,47621.0,,,,
2020/04/08,35391.686910245604,47212.877746133716,543.4829258927275,18.486680326415808,25682.29576615035,775.4253518511468,9709.391144095254,35022.0,35761.0,46787.0,47639.0,,,,
2020/04/09,35912.0328950091,47229.414344796576,520.3459847634949,16.536598662860342,26439.22506491896,756.9292987686094,9472.80783009014,35541.0,36283.0,46804.0,47654.0,,,,
2020/04/10,36410.17949634655,47244.24807479214,498.146601337452,14.83372999556741,27177.342379963236,738.1173150442773,9232.837116383314,36037.0,36786.0,46818.0,47671.0,,,,
2020/04/11,36887.03308561146,47257.59018571768,476.8535892649088,13.342110925535962,27896.425702643537,719.0833226803006,8990.607382967923,36511.0,37264.0,46832.0,47684.0,,,,
2020/04/12,37343.46877081422,47269.62177464974,456.4356852027631,12.031588932062732,28596.337447698585,699.9117450550475,8747.131323115638,36965.0,37723.0,46844.0,47696.0,,,,
2020/04/13,37780.33055493758,47280.4985769155,436.8617841233572,10.876802265760489,29277.015679279724,680.6782315811397,8503.314875657856,37400.0,38162.0,46855.0,47707.0,,,,
