Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
125.0,172.0,26.0,49.0,0.0,0.0,0.0,2020/03/05,148.0,37.0,31.0,6.0,2020-03-05,37.0,0.0,6.0
131.0,180.0,31.0,57.0,6.820761086359113,6.5510141571155245,0.10541004237962337,2020/03/06,154.8207610863591,43.551014157115524,37.4456041147359,6.105410042379623,2020-03-06,49.0,12.0,6.0
150.0,201.0,37.0,65.0,20.21894046269759,6.953833114462341,0.12565438006731355,2020/03/07,175.0397015490567,50.504847271577866,44.27378284913093,6.231064422446937,2020-03-07,54.0,5.0,8.0
182.0,239.0,44.0,74.0,35.173324970318106,8.145613914751081,0.1482773498375387,2020/03/08,210.2130265193748,58.65046118632895,52.27111941404447,6.379341772284476,2020-03-08,64.0,10.0,8.0
232.0,296.0,53.0,86.0,53.31274466569948,10.21743904512632,0.1758146786568071,2020/03/09,263.5257711850743,68.86790023145527,62.31274378051398,6.555156450941283,2020-03-09,76.0,12.0,9.0
304.0,377.0,65.0,100.0,76.5169991879315,13.355750843584673,0.21121874056603485,2020/03/10,340.0427703730058,82.22365107503994,75.45727588353262,6.766375191507318,2020-03-10,79.0,3.0,9.0
406.0,489.0,81.0,120.0,107.09702995352893,17.856533069532006,0.2581698227960878,2020/03/11,447.1398003265347,100.08018414457194,93.05563913026855,7.024545014303405,2020-03-11,108.0,29.0,9.0
548.0,643.0,103.0,147.0,147.993963430551,24.14959819927489,0.321445476151033,2020/03/12,595.1337637570857,124.22978234384684,116.8837918533924,7.345990490454438,2020-03-12,117.0,9.0,9.0
743.0,854.0,133.0,182.0,203.18967167602705,32.833885667553545,0.4073797934573298,2020/03/13,798.3234354331128,157.06366801140038,149.3102977274886,7.753370283911768,2020-03-13,193.0,76.0,9.0
1075.0,1207.0,176.0,231.0,342.40086095378865,45.99777884155847,0.5254521740740197,2020/03/14,1140.7242963869014,203.06144685295885,194.78262439497306,8.278822457985788,2020-03-14,196.0,3.0,9.0
1692.0,1857.0,242.0,307.0,633.3869840960592,70.87778259068114,0.699529755190806,2020/03/15,1774.1112804829606,273.93922944364,264.9608772304634,8.978352213176594,2020-03-15,250.0,54.0,9.0
2804.0,3016.0,366.0,445.0,1135.3416140415377,131.06077055636,6.021647786823406,2020/03/16,2909.4528945244983,405.0,390.0,15.0,2020-03-16,405.0,155.0,15.0
2944.0,3160.0,507.0,599.0,142.06915810452028,147.5756552212954,1.426505121782487,2020/03/17,3051.5220526290186,552.5756552212954,536.1491500995129,16.426505121782487,,,,
3353.0,3584.0,656.0,760.0,416.52105253322634,155.23275155432145,1.8836805085558623,2020/03/18,3468.043105162245,707.8084067756168,689.4982211452785,18.31018563033835,,,,
