Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
4381.0,4645.0,1063.0,1194.0,0.0,0.0,0.0,2020/02/29,4512.0,1128.0,1053.0,75.0,2020-02-29,1128.0,0.0,75.0
4570.0,4838.0,1528.0,1685.0,191.58827360949908,478.16803249327404,45.722613556486365,2020/03/01,4703.588273609499,1606.168032493274,1485.4454189367877,120.72261355648637,2020-03-01,1694.0,566.0,117.0
5109.0,5394.0,1981.0,2160.0,547.3393527940134,464.0773218575687,60.55537091161186,2020/03/02,5250.9276264035125,2070.2453543508427,1888.9673698827446,181.27798446809823,2020-03-02,2036.0,342.0,201.0
5987.0,6294.0,2471.0,2670.0,889.1046204886543,499.8575093571153,75.28064940325174,2020/03/03,6140.032246892167,2570.102863707958,2313.544229836608,256.55863387134997,2020-03-03,2502.0,466.0,239.0
7217.0,7554.0,3039.0,3260.0,1245.0672709230494,578.7702588597112,91.52550108286306,2020/03/04,7385.099517815216,3148.8731225676693,2800.7889876134564,348.084134954213,2020-03-04,3089.0,587.0,383.0
8834.0,9206.0,3726.0,3969.0,1634.5573062012472,698.2769855457268,110.70226063116758,2020/03/05,9019.656824016463,3847.150108113396,3388.3637125280156,458.7863955853806,2020-03-05,3858.0,769.0,562.0
10882.0,11295.0,4572.0,4840.0,2068.1667734792427,858.2565995564687,134.1317272750086,2020/03/06,11087.823597495706,4705.406707669865,4112.4885848094755,592.9181228603892,2020-03-06,4636.0,778.0,720.0
13406.0,13864.0,5616.0,5914.0,2546.3386588750163,1059.376089168969,163.10262509621714,2020/03/07,13634.162256370722,5764.782796838834,5008.762048882228,756.0207479566063,2020-03-07,5883.0,1247.0,822.0
16438.0,16945.0,6902.0,7232.0,3056.8184848014844,1301.4029530664775,198.87098627684156,2020/03/08,16690.980741172207,7066.185749905311,6111.294015671863,954.8917342334479,2020-03-08,7375.0,1492.0,988.0
19984.0,20543.0,8466.0,8830.0,3571.9734236012955,1581.373057016699,242.59748692534333,2020/03/09,20262.954164773502,8647.55880692201,7450.069585763219,1197.4892211587912,2020-03-09,9172.0,1797.0,1187.0
24006.0,24616.0,10339.0,10741.0,4047.7807588602773,1891.7338749918927,295.2212384382615,2020/03/10,24310.73492363378,10539.292681913903,9046.58222231685,1492.7104595970527,2020-03-10,10149.0,977.0,1355.0
28405.0,29071.0,12537.0,12980.0,4426.907867381709,2218.866289476233,357.27765350639993,2020/03/11,28737.64279101549,12758.158971390136,10908.170858286683,1849.9881131034526,2020-03-11,12462.0,2313.0,1872.0
33027.0,33744.0,15058.0,15544.0,4647.957887266173,2542.6602400013508,428.68706037091397,2020/03/12,33385.60067828166,15300.819211391487,13022.14403791712,2278.6751734743666,2020-03-12,15115.0,2653.0,2274.0
37665.0,38429.0,17875.0,18403.0,4660.763202977389,2837.880847431481,508.56564868775513,2020/03/13,38046.36388125905,18138.700058822968,15351.459236660845,2787.2408221621217,2020-03-13,17660.0,2545.0,2705.0
42086.0,42895.0,20932.0,21502.0,4443.680284779577,3077.678569399399,595.1293169083938,2020/03/14,42490.04416603863,21216.378628222366,17834.00848915185,3382.3701390705155,2020-03-14,21157.0,3497.0,3407.0
46083.0,46929.0,24150.0,24762.0,4015.2848966934253,3238.7089311417294,685.7563420898459,2020/03/15,46505.32906273205,24455.087559364096,20386.961078203734,4068.1264811603614,2020-03-15,24938.0,3781.0,4144.0
49718.0,50596.0,27652.0,28308.0,3651.8126258824923,3524.912440635904,838.8735188396386,2020/03/16,50157.141688614545,27980.0,23073.0,4907.0,2020-03-16,27980.0,3042.0,4907.0
52558.0,53459.0,30917.0,31610.0,2851.3917542607087,3283.6056003662416,871.7644876411186,2020/03/17,53008.533442875254,31263.60560036624,25484.841112725124,5778.764487641119,,,,
54708.0,55629.0,34074.0,34801.0,2158.9872583792167,3173.7647020074182,955.0927510091497,2020/03/18,55167.52070125447,34437.37030237366,27703.513063723392,6733.857238650268,,,,
56261.0,57193.0,37049.0,37806.0,1558.524341456301,2989.241645754686,1030.2141301633992,2020/03/19,56726.04504271077,37426.611948128346,29662.54057931468,7764.0713688136675,,,,
57333.0,58274.0,39789.0,40575.0,1077.702172280755,2755.430126391795,1095.2345891475834,2020/03/20,57803.74721499153,40182.04207452014,31322.736116558888,8859.30595796125,,,,
58049.0,58997.0,42274.0,43085.0,717.8984849491317,2496.0911017054095,1149.2039307098203,2020/03/21,58521.64569994066,42678.13317622555,32669.62328755448,10008.509888671071,,,,
58508.0,59461.0,44495.0,45324.0,463.47146464983234,2230.554046190402,1191.9699776979069,2020/03/22,58985.11716459049,44908.68722241595,33708.20735604697,11200.479866368978,,,,
58799.0,59753.0,46458.0,47305.0,291.72097636171384,1972.6991893145241,1223.9713604927729,2020/03/23,59276.838140952204,46881.38641173048,34456.93518486872,12424.451226861751,,,,
58979.0,59934.0,48181.0,49045.0,180.02535376544984,1731.282594062628,1246.02737226301,2020/03/24,59456.863494717654,48612.669005793105,34942.19040666834,13670.47859912476,,,,
59088.0,60045.0,49685.0,50562.0,109.47969962437492,1510.9524146213153,1259.1608000780616,2020/03/25,59566.34319434203,50123.62142041442,35193.982021211596,14929.639399202822,,,,
59154.0,60111.0,50992.0,51882.0,65.90589124129474,1313.427976253959,1264.4669360636344,2020/03/26,59632.249085583324,51437.04939666838,35242.94306140192,16194.106335266457,,,,
59193.0,60150.0,52127.0,53025.0,39.427815233582805,1138.5407691551736,1263.0268838258598,2020/03/27,59671.67690081691,52575.59016582355,35118.45694673124,17457.133219092317,,,,
59218.0,60175.0,53107.0,54014.0,23.5190127733149,985.026855461103,1255.8563282760188,2020/03/28,59695.19591359022,53560.617021284655,34847.62747391632,18712.989547368335,,,,
59230.0,60189.0,53954.975,54869.0,14.028063008619938,851.072158185314,1243.8795619392622,2020/03/29,59709.22397659884,54411.68917946997,34454.82007016237,19956.869109307598,,,,
59239.0,60197.0,54687.0,55607.0,8.386138918336655,734.6589528823897,1227.9199558134205,2020/03/30,59717.61011551718,55146.34813235236,33961.55906723134,21184.78906512102,,,,
59245.0,60202.0,55317.0,56244.0,5.034540744185506,633.7702922095486,1208.7003024609294,2020/03/31,59722.644656261364,55780.11842456191,33386.62905697996,22393.489367581948,,,,
59248.0,60206.0,55863.0,56792.0,3.040093152645568,546.5006667977796,1186.848567402405,2020/04/01,59725.68474941401,56326.61909135969,32746.281156375335,23580.337934984353,,,,
59249.0,60207.0,56331.0,57265.0,1.8488786677262397,471.1084350737001,1162.9062201374945,2020/04/02,59727.533628081736,56797.72752643339,32054.48337131154,24743.244155121847,,,,
59250.0,60209.0,56735.0,57673.0,1.1336485034989892,406.0339707113744,1137.3374560108605,2020/04/03,59728.667276585235,57203.76149714476,31323.179886012054,25880.581611132708,,,,
59252.0,60208.0,57085.0,58024.0,0.7013845338733518,349.8987454790986,1110.5383600492132,2020/04/04,59729.36866111911,57553.66024262386,30562.54027144194,26991.11997118192,,,,
59252.0,60210.0,57384.0,58326.0,0.4381478422510554,301.4945888401635,1082.8455207473162,2020/04/05,59729.80680896136,57855.154831464024,29781.189339534787,28073.965491929237,,,,
59253.0,60209.0,57643.0,58588.0,0.27649225077038864,259.76852887029236,1054.5438714753,2020/04/06,59730.08330121213,58114.92336033432,28986.41399692978,29128.509363404537,,,,
59251.0,60209.0,57866.0,58812.0,0.17631804355187342,223.8062536491343,1025.8736901735392,2020/04/07,59730.25961925568,58338.72961398345,28184.346560405374,30154.383053578076,,,,
59252.0,60209.0,58058.0,59005.0,0.11364950424467679,192.8158222748316,997.0367703816992,2020/04/08,59730.373268759926,58531.54543625828,27380.125612298507,31151.419823959775,,,,
59250.0,60210.0,58224.0,59174.0,0.07405600899073761,166.11243618329172,968.2018177655627,2020/04/09,59730.44732476892,58697.657872441574,26578.036230716236,32119.621641725338,,,,
59251.0,60210.0,58367.0,59316.0,0.048787219428049866,143.10461837844923,939.509143981828,2020/04/10,59730.496111988345,58840.76249082002,25781.631705112857,33059.130785707166,,,,
59253.0,60210.0,58489.0,59441.0,0.03249433028395288,123.28189451558137,911.0747344737465,2020/04/11,59730.52860631863,58964.044385335605,24993.838865154692,33970.20552018091,,,,
59252.0,60211.0,58594.0,59548.0,0.021879840271139983,106.20393673951185,882.9937647882252,2020/04/12,59730.5504861589,59070.24832207512,24217.04903710598,34853.19928496914,,,,
59252.0,60211.0,58686.0,59640.0,0.014892771541781258,91.4910666834403,855.3436347027018,2020/04/13,59730.56537893044,59161.73938875856,23453.196469086717,35708.54291967184,,,,
59252.0,60210.0,58764.0,59718.0,0.010245797544484958,78.81598764304363,828.1865828031514,2020/04/14,59730.575624727986,59240.5553764016,22703.82587392661,36536.72950247499,,,,
59253.0,60211.0,58832.0,59787.0,0.007123373470676597,67.89661009301926,801.571937234723,2020/04/15,59730.58274810146,59308.45198649462,21970.150546784906,37338.301439709714,,,,
59251.0,60210.0,58890.0,59845.0,0.005003985999792349,58.489839651643706,775.5380516227742,2020/04/16,59730.58775208746,59366.94182614626,21253.102334813775,38113.83949133249,,,,
59252.0,60211.0,58939.0,59896.0,0.003550987043126952,50.38620637670101,750.1139690388154,2020/04/17,59730.5913030745,59417.328032522964,20553.37457215166,38863.953460371304,,,,
59253.0,60209.0,58983.0,59939.0,0.0025450154353166,43.40522627282917,725.320851269782,2020/04/18,59730.593848089935,59460.73325879579,19871.458947154708,39589.274311641086,,,,
59253.0,60211.0,59021.0,59977.0,0.0018417933679302223,37.39139811506902,701.1732057121262,2020/04/19,59730.5956898833,59498.12465691086,19207.67713955765,40290.44751735321,,,,
59252.0,60211.0,59053.0,60008.0,0.0013455427615554072,32.210750248181284,677.6799378993819,2020/04/20,59730.597035426064,59530.335407159044,18562.20795190645,40968.127455252594,,,,
59252.0,60210.0,59079.0,60037.0,0.0009921002929331735,27.74786299837433,654.8452538045967,2020/04/21,59730.59802752636,59558.08327015742,17935.110561100228,41622.97270905719,,,,
59252.0,60209.0,59104.0,60060.0,0.0007380870301858522,23.903301599544648,632.6694328876474,2020/04/22,59730.59876561339,59581.98657175696,17326.344429812125,42255.64214194484,,,,
59252.0,60210.0,59125.0,60081.0,0.0005539186022360809,20.591403807564348,611.1494897709781,2020/04/23,59730.59931953199,59602.57797556453,16735.78634384871,42866.791631715816,,,,
59252.0,60211.0,59142.0,60099.0,0.0004192400083411485,17.73837311333773,590.2797402066717,2020/04/24,59730.599738772,59620.316348677865,16163.244976755377,43457.07137192249,,,,
59253.0,60209.0,59158.0,60116.0,0.00031992638832889497,15.28063573743566,570.0522846362146,2020/04/25,59730.60005869839,59635.5969844153,15608.473327856598,44027.1236565587,,,,
59253.0,60209.0,59172.0,60128.0,0.0002460946634528227,13.16342494784476,550.4574209117272,2020/04/26,59730.60030479305,59648.760409363145,15071.179331892716,44577.58107747043,,,,
59252.0,60210.0,59182.0,60140.0,0.00019077117030974478,11.339561154745752,531.4839961716352,2020/04/27,59730.60049556422,59660.09997051789,14551.034896875826,45109.065073642065,,,,
