Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
384.0,465.0,86.0,127.0,0.0,0.0,0.0,2020/03/01,424.0,106.0,34.0,72.0,2020-03-01,106.0,0.0,72.0
432.0,517.0,90.0,131.0,49.750375707308535,3.735990521437003,1.206673205996637,2020/03/02,473.75037570730854,109.735990521437,36.529317315440366,73.20667320599664,2020-03-02,108.0,2.0,78.0
485.0,575.0,94.0,135.0,55.536548373363075,4.269339380325434,1.3007080619012754,2020/03/03,529.2869240806716,114.00532990176244,39.497948633864524,74.50738126789791,2020-03-03,110.0,2.0,78.0
544.0,639.0,98.0,141.0,61.571685963066216,4.861440955725783,1.410524224582275,2020/03/04,590.8586100437378,118.86677085748822,42.94886536500803,75.91790549248019,2020-03-04,110.0,0.0,78.0
609.0,709.0,103.0,147.0,67.74602072058656,5.513797731485283,1.537597457146731,2020/03/05,658.6046307643244,124.3805685889735,46.925065639346585,77.45550294962692,2020-03-05,117.0,7.0,78.0
680.0,786.0,109.0,153.0,73.92004706495993,6.226535281476643,1.6833820410348466,2020/03/06,732.5246778292843,130.60710387045015,51.46821887978838,79.13888499066177,2020-03-06,130.0,13.0,78.0
757.0,869.0,115.0,161.0,79.92698824106435,6.9981023993555596,1.8492598105822111,2020/03/07,812.4516660703487,137.6052062698057,56.61706146856173,80.98814480124398,2020-03-07,138.0,8.0,78.0
840.0,957.0,122.0,170.0,85.57869201634503,7.825022232369065,2.0364819423292033,2020/03/08,898.0303580866937,145.43022850217477,62.40560175860159,83.02462674357318,2020-03-08,150.0,12.0,78.0
927.0,1051.0,130.0,179.0,90.67519543135597,8.701728063205053,2.2461052738561875,2020/03/09,988.7055535180497,154.13195656537982,68.86122454795046,85.27073201742937,2020-03-09,150.0,0.0,78.0
1020.0,1149.0,139.0,189.0,95.01758044676956,9.620524705849562,2.478927494917599,2020/03/10,1083.7231339648192,163.75248127122939,76.00282175888242,87.74965951234697,2020-03-10,160.0,10.0,78.0
1115.0,1250.0,149.0,201.0,98.42313603464436,10.571706122904743,2.735425718246418,2020/03/11,1182.1462699994636,174.32418739413413,83.83910216354074,90.48508523059338,2020-03-11,178.0,18.0,96.0
1213.0,1354.0,160.0,213.0,100.74095790278011,11.543837877969196,3.015703849879756,2020/03/12,1282.8872279022437,185.86802527210332,92.36723619163018,93.50078908047314,2020-03-12,187.0,9.0,96.0
1312.0,1458.0,171.0,226.0,101.86601500654183,12.524203556677577,3.319454175122033,2020/03/13,1384.7532429087855,198.3922288287809,101.57198557318573,96.82024325559517,2020-03-13,200.0,13.0,97.0
1411.0,1563.0,184.0,241.0,101.749409423423,13.4993794490359,3.645937387387619,2020/03/14,1486.5026523322085,211.8916082778168,111.42542763483401,100.46618064298279,2020-03-14,212.0,12.0,105.0
1509.0,1666.0,197.0,256.0,100.40314245886248,14.1083917221832,4.533819357017208,2020/03/15,1586.905794791071,226.0,121.0,105.0,2020-03-15,226.0,14.0,105.0
1605.0,1766.0,211.0,272.0,97.92248962769236,15.384774918592285,4.332207651399898,2020/03/16,1684.8282844187634,241.38477491859229,132.0525672671924,109.3322076513999,2020-03-16,243.0,17.0,109.0
1697.0,1862.0,227.0,289.0,94.37976891078006,16.266737098054904,4.719434126651592,2020/03/17,1779.2080533295434,257.6515120166472,143.5998702385957,114.05164177805149,,,,
1785.0,1954.0,243.0,308.0,89.96484975289741,17.09549955479747,5.1224435509383,2020/03/18,1869.1729030824408,274.74701157144466,155.57292624245486,119.17408532898979,,,,
1868.0,2041.0,259.0,327.0,84.86564552692153,17.863138495924602,5.538772916094032,2020/03/19,1954.0385486093624,292.61015006736926,167.89729182228544,124.71285824508382,,,,
1946.0,2122.0,277.0,346.0,79.27931618150137,18.563931790114736,5.965812569287436,2020/03/20,2033.3178647908637,311.174081857484,180.49541104311274,130.67867081437126,,,,
