Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/02/20,94.0,376.0,0.0,0.0,21.0,0.0,73.0,76.0,113.0,339.0,414.0,2020-02-20,94.0,0.0,21.0
2020/02/21,114.90521586972937,378.2567541558695,20.905215869729375,2.256754155869487,22.491981316756938,1.491981316756938,92.41323455297244,94.0,136.0,341.0,417.0,2020-02-21,110.0,16.0,21.0
2020/02/22,134.59374117946962,384.78426417960236,19.688525309740243,6.527510023732873,24.318895260577975,1.8269139438210367,110.27484591889164,112.0,158.0,347.0,424.0,2020-02-22,135.0,25.0,21.0
2020/02/23,153.459674244142,395.28754522694,18.86593306467239,10.503281047337623,26.456657183019086,2.1377619224411113,127.00301706112292,130.0,178.0,357.0,435.0,2020-02-23,147.0,12.0,23.0
2020/02/24,171.84932221409807,409.55399172282085,18.38964796995606,14.26644649588087,28.888203047799806,2.4315458647807198,142.96111916629826,147.0,198.0,370.0,450.0,2020-02-24,159.0,12.0,23.0
2020/02/25,190.07042303116282,427.44287167598947,18.22110081706475,17.888879953168612,31.60259555236627,2.714392504566465,158.46782747879655,164.0,218.0,387.0,468.0,2020-02-25,170.0,11.0,23.0
2020/02/26,208.39997503862838,448.87669205357935,18.329552007465566,21.433820377589882,34.59429862421708,2.991703071850811,173.8056764144113,181.0,237.0,408.0,491.0,2020-02-26,189.0,19.0,24.0
2020/02/27,227.09091108287703,473.83415105810934,18.690936044248645,24.957459004529994,37.86259384355843,3.268295219341347,189.22831723931859,198.0,257.0,432.0,517.0,2020-02-27,214.0,25.0,26.0
2020/02/28,246.3778122166325,502.34443937881184,19.286901133755464,28.5102883207025,41.41111727583919,3.54852343228076,204.9666949407933,216.0,278.0,459.0,547.0,2020-02-28,228.0,14.0,26.0
2020/02/29,266.4818198462925,534.4826931816535,20.104007629660032,32.13825380284169,45.247499382786316,3.836382106947127,221.2343204635062,235.0,299.0,490.0,580.0,2020-02-29,241.0,13.0,37.0
2020/03/01,287.61488687030766,570.3664213508373,21.133067024015133,35.88372816918377,49.38309282184864,4.135593439062326,238.23179404845902,255.0,321.0,524.0,618.0,2020-03-01,256.0,15.0,38.0
2020/03/02,309.98348243351643,610.1527593691632,22.36859556320877,39.786338018325864,53.83277589765917,4.449683075810526,256.15070653585724,276.0,345.0,562.0,659.0,2020-03-02,274.0,18.0,38.0
2020/03/03,333.7918457515589,654.0364240088311,23.808363318042495,43.88366463966793,58.61482157646365,4.782045678804479,275.17702417509526,298.0,370.0,604.0,705.0,2020-03-03,293.0,19.0,49.0
2020/03/04,359.2448712944843,702.2482570466268,25.45302554292539,48.211833037795714,63.750823445990754,5.136001869527107,295.49404784849355,323.0,397.0,651.0,755.0,2020-03-04,331.0,38.0,49.0
2020/03/05,386.55069458244543,755.054259764493,27.30582328796112,52.80600271786625,69.26567143108059,5.514847985089837,317.28502315136484,348.0,426.0,702.0,809.0,2020-03-05,360.0,29.0,49.0
2020/03/06,415.92302576128117,812.7550456090873,29.372331178835736,57.70078584459429,75.18757239098612,5.921900959905528,340.73545337029503,377.0,456.0,757.0,869.0,2020-03-06,420.0,60.0,52.0
2020/03/07,447.5832878200493,875.6856211634846,31.660262058768126,62.93057555439725,81.54810964273877,6.360537251752646,366.0351781773105,407.0,490.0,818.0,934.0,2020-03-07,461.0,41.0,82.0
2020/03/08,481.762589581068,944.2154362020226,34.179301761018735,68.529815038538,88.38233821624668,6.8342285735079145,393.38025136482133,439.0,525.0,885.0,1005.0,2020-03-08,502.0,41.0,82.0
2020/03/09,518.7035641612889,1018.7486372256861,36.94097458022088,74.53320102366354,95.72891241700798,7.346574200761296,422.97465174428095,474.9750000000022,564.0,957.0,1082.0,2020-03-09,511.0,9.0,86.0
2020/03/10,558.6620964303263,1099.7244619948829,39.95853226903739,80.97582476919672,103.63024283921585,7.901330422207877,455.03185359111046,513.0,605.0,1035.0,1165.0,2020-03-10,581.0,70.0,113.0
2020/03/11,601.9089548245283,1187.6177160416205,43.246858394202036,87.89325404673764,112.13268059203214,8.502437752816292,489.7762742324962,554.0,650.0,1120.0,1256.0,2020-03-11,639.0,58.0,116.0
2020/03/12,648.7313393613599,1282.9392683747192,46.82238453683158,95.32155233309868,121.28672653887503,9.154045946842885,527.4446128224849,599.0,699.0,1213.0,1354.0,2020-03-12,657.0,18.0,119.0
2020/03/13,699.4343502456685,1386.2365037544057,50.70301088430858,103.29723537968653,131.1472637506608,9.860537211785783,568.2870864950077,648.0,752.0,1314.0,1460.0,2020-03-13,725.0,68.0,123.0
2020/03/14,754.3423779665064,1498.0936634621526,54.908027720837936,111.85715970774686,141.77381129480352,10.62654754414271,612.5685666717029,701.0,809.0,1423.0,1574.0,2020-03-14,786.0,61.0,157.0
2020/03/15,813.8004091228794,1619.1320026577541,59.458031156372954,121.03833919560157,153.2307975841932,11.456986289389675,660.5696115386862,758.0,870.0,1541.0,1698.0,2020-03-15,818.0,32.0,168.0
2020/03/16,835.0,1750.0096851961025,21.199590877120613,130.87768253834838,185.0,31.769202415806802,650.0,779.0,892.0,1669.0,1833.0,2020-03-16,835.0,17.0,185.0
2020/03/17,907.7598341422832,1888.5086800393283,72.75983414228324,138.49899484322577,197.24356051257348,12.243560512573481,710.5162736297098,849.0,967.0,1804.0,1974.0,,,,
2020/03/18,985.82209837844,2038.9297689361297,78.0622642361568,150.4210888968014,210.61379099905056,13.370230486477084,775.2083073793895,925.0,1048.0,1951.0,2128.0,,,,
2020/03/19,1069.7009708365424,2201.943265706628,83.87887245810236,163.01349677049848,225.18979819124962,14.576007192199057,844.5111726452928,1006.0,1134.0,2110.0,2294.0,,,,
2020/03/20,1159.9239746997976,2378.2676578932983,90.22300386325514,176.32439218667014,241.05856523086408,15.868767039614454,918.8654094689334,1094.0,1227.0,2283.0,2474.0,,,,
2020/03/21,1257.0344372497261,2568.663909219258,97.11046254992857,190.39625132595984,258.315076656894,17.25651142602993,998.7193605928321,1188.0,1327.0,2470.0,2668.0,,,,
2020/03/22,1361.593135307188,2773.9295808297284,104.55869805746192,205.26567161047024,277.0624721814841,18.747395524590104,1084.530663125704,1290.0,1434.0,2671.0,2878.0,,,,
2020/03/23,1474.1795286613478,2994.8919955221454,112.58639335415978,220.96241469241704,297.4122241455083,20.349751964024165,1176.7673045158394,1400.0,1550.0,2888.0,3102.0,,,,
2020/03/24,1595.3922779439276,3232.4006520570465,121.21274928257981,237.5086565349011,319.4843282582477,22.072104112739396,1275.90794968568,1517.0,1674.0,3122.0,3344.0,,,,
2020/03/25,1725.8491454340985,3487.3185186817973,130.4568674901709,254.9178666247508,343.4074938737995,23.923165615551852,1382.441651560299,1645.0,1808.0,3372.0,3604.0,,,,
2020/03/26,1866.1862428917573,3760.5121553591775,140.33709745765873,273.19363667738025,369.3193241490144,25.911830275214868,1496.8669187427429,1782.0,1951.0,3641.0,3881.0,,,,
2020/03/27,2017.0564676863623,4052.8402846370964,150.87022479460506,292.32812927791883,397.3664716094585,28.04714746044408,1619.6899960769038,1930.0,2105.0,3928.0,4178.0,,,,
2020/03/28,2179.1272619320703,4365.14101723609,162.07079424570793,312.3007325989938,427.7047571252179,30.338285515759424,1751.4225048068524,2088.0,2271.0,4236.0,4495.0,,,,
2020/03/29,2353.077468112431,4698.217354064043,173.9502061803605,333.0763368279531,460.49923963894224,32.79448251372435,1892.5782284734885,2258.0,2449.0,4564.0,4833.0,,,,
2020/03/30,2539.5932886996893,5052.821021060601,186.51582058725853,354.6036669965579,495.9242194032271,35.42497976428484,2043.669069296462,2441.0,2639.0,4914.0,5193.0,,,,
2020/03/31,2739.3632992865487,5429.634647609166,199.77001058685937,376.81362654856457,534.1631615335536,38.23894213032656,2205.200137752995,2637.0,2843.0,5285.0,5574.0,,,,
2020/04/01,2953.072442921626,5829.2523474711525,213.70914363507745,399.6176998619867,575.4085212657753,41.24535973222169,2377.6639216558506,2847.0,3060.0,5680.0,5979.0,,,,
2020/04/02,3181.3949926807577,6252.15881132209,228.32254975913156,422.90646385093714,619.8614613483395,44.45294008256417,2561.533531332418,3072.0,3292.0,6098.0,6408.0,,,,
2020/04/03,3424.986416872569,6698.707264633573,243.59142419181126,446.5484533114832,667.7314299821353,47.86996863379579,2757.2549868904334,3311.0,3540.0,6539.0,6859.0,,,,
2020/04/04,3684.4742034064925,7169.096533583977,259.48778653392355,470.3892689504046,719.235599601107,51.50416961897167,2965.2386038053855,3566.0,3804.0,7004.0,7335.0,,,,
2020/04/05,3960.4476380386172,7663.347714316485,275.97343463212474,494.25118073250724,774.5981402483726,55.36254064726563,3185.8494977902446,3837.0,4084.0,7492.0,7835.0,,,,
2020/04/06,4253.446618879387,8181.281101152004,292.9989808407695,517.9333868355197,834.0493126212187,59.451172372846145,3419.397306258168,4126.0,4382.0,8004.0,8359.0,,,,
2020/04/07,4563.9496363562475,8722.494144970486,310.5030174768608,541.2130438184813,897.8243712129001,63.775058591681386,3666.1252651433474,4432.0,4697.0,8540.0,8906.0,,,,
2020/04/08,4892.361060330064,9286.34100207006,328.41142397381645,563.8468570995738,966.1622671971667,68.33789598426654,3926.198793132897,4756.0,5030.0,9098.0,9476.0,,,,
2020/04/09,5238.99794494924,9871.914845894287,346.63688461917627,585.5738438242279,1039.3041427643104,73.14187556714376,4199.69380218493,5097.0,5381.0,9678.0,10067.0,,,,
2020/04/10,5604.076642910661,10478.033992772467,365.0786979614204,606.1191468781799,1117.4916131484988,78.18747038418837,4486.585029762162,5458.0,5751.0,10278.0,10679.0,,,,
2020/04/11,5987.6995543584035,11103.232620397323,383.6229114477428,625.1986276248554,1200.9648430681602,83.47322991966143,4786.7347112902435,5837.0,6140.0,10897.0,11310.0,,,,
2020/04/12,6389.842378270327,11745.75729328254,402.1428239119232,642.524672885218,1289.9604221366212,88.99557906846098,5099.881956133706,6234.0,6547.0,11534.0,11959.0,,,,
2020/04/13,6810.342284510425,12403.570150886037,420.4999062400984,657.812857603496,1384.709061859997,94.74863972337585,5425.633222650428,6649.0,6973.0,12186.0,12622.0,,,,
2020/04/14,7248.887484942847,13074.359517761844,438.54520043242155,670.7893668758079,1485.433131202156,100.72406934215883,5763.454353740691,7082.0,7416.0,12850.0,13299.0,,,,
2020/04/15,7705.008646794823,13755.55851787544,456.12116185197647,681.1990001135964,1592.3440679236685,106.9109367215126,6112.664578871155,7533.0,7878.0,13526.0,13986.0,,,,
2020/04/16,8178.072626645079,14444.371924594047,473.06397985025615,688.8134067186056,1705.6397021271466,113.29563420347813,6472.432924517932,8001.0,8356.0,14210.0,14681.0,,,,
2020/04/17,8667.278965139114,15137.811156220447,489.20633849403475,693.4392316264002,1825.5015404492015,119.86183832205484,6841.777424689913,8485.0,8850.0,14897.0,15379.0,,,,
2020/04/18,9171.65950568821,15832.736936028054,504.3805405490966,694.9257798076069,1952.0920626183897,126.59052216918826,7219.567443069821,8984.0,9360.0,15587.0,16080.0,,,,
2020/04/19,9690.081452945204,16525.908674988263,518.421947256993,693.171738960209,2085.552088992084,133.4600263736943,7604.529363953119,9498.0,9883.0,16275.0,16779.0,,,,
