Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
38715.0,39491.0,22637.0,23231.0,0.0,0.0,0.0,0.0,2020/02/10,39102.0,22934.0,1735.905708147609,20980.0,1954.0,2020-02-10,22934.0,1206.0,0.0,1954.0
38927.0,39705.0,30519.0,31206.0,214.43834351096302,7928.000292765548,438.32425673903526,489.24841484298713,2020/02/11,39316.43834351096,30862.000292765548,2174.2299648866438,28418.75187792256,2443.248414842987,2020-02-11,28742.0,1377.0,5808.0,2197.0
39379.0,40161.0,34732.0,35469.0,453.5432006409392,4238.160366796368,532.077600961939,592.7690628412843,2020/02/12,39769.9815441519,35100.160659561916,2706.307565848583,32064.143181877644,3036.0174776842714,2020-02-12,32981.0,1646.0,4239.0,2574.0
39956.0,40743.0,37151.0,37911.0,579.2625979836812,2430.037889678155,579.1553703349782,643.4917522669889,2020/02/13,40349.24414213558,37530.19854924007,3285.462936183561,33850.68931928881,3679.5092299512603,2020-02-13,35991.0,2016.0,3010.0,3032.0
40603.0,41396.0,38691.0,39467.0,649.3642026126618,1548.1557807287973,603.3617615416292,668.3866684350173,2020/02/14,40998.608344748245,39078.35432996887,3888.824697725191,34730.45843158259,4347.895898386278,2020-02-14,37914.0,2502.0,1923.0,3625.0
41292.0,42091.0,39807.0,40593.0,692.2834248372674,1122.2927896421825,616.4330634858637,680.7272998313565,2020/02/15,41690.89176958551,40200.64711961105,4505.257761211055,35172.02392139342,5028.623198217634,2020-02-15,39462.0,2915.0,1548.0,4148.0
42011.0,42817.0,40725.0,41519.0,722.018473295364,921.0403272275944,624.1564089051343,687.0465562240661,2020/02/16,42412.91024288088,41121.687446838645,5129.414170116189,35406.01769239694,5715.6697544417,2020-02-16,41152.0,3458.0,1690.0,4767.0
42751.0,43565.0,41551.0,42353.0,745.4624093821694,830.5179759149032,629.3862041019029,690.5601369245396,2020/02/17,43158.372652263046,41952.20542275355,5758.800374218092,35545.97553138731,6406.22989136624,2020-02-17,42752.0,4219.0,1600.0,5600.0
43514.0,44336.0,42342.0,43152.0,766.0117716277673,794.6851946905881,633.5311589063213,692.8512891629862,2020/02/18,43924.38442389081,42746.890617444136,6392.331533124413,35647.80943691491,7099.081180529226,2020-02-18,44412.0,4895.0,1660.0,6392.0
44296.0,45125.0,43124.0,43941.0,785.3425089740922,785.966634174496,637.2873581815112,694.6999384423316,2020/02/19,44709.726932864905,43532.85725161863,7029.618891305924,35739.076132647075,7793.781118971558,2020-02-19,45027.0,5448.0,615.0,7033.0
45097.0,45934.0,43912.0,44738.0,804.2839522087888,790.7958012438758,640.9996498811653,696.4907350829399,2020/02/20,45514.010885073694,44323.65305286251,7670.618541187088,35833.38119880801,8490.271854054497,2020-02-20,45346.0,6214.0,319.0,7898.0
45915.0,46760.0,44711.0,45543.0,823.2489033676175,802.5006098522281,644.8398007203767,698.4138689177016,2020/02/21,46337.25978844131,45126.153662714736,8315.458341907466,35937.467939742535,9188.685722972199,2020-02-21,45660.0,7206.0,314.0,8980.0
