Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_cure,Dailynew_remove,Date,Predict_actual,Predict_confirm,Predict_cure,Remain_confirm,Remove,ADate,Official_confirmed,Official_cure,Official_dailynew,Official_remove
7436.0,7779.0,1061.0,1192.0,0.0,0.0,0.0,0.0,2020/01/27,7607.0,1126.0,16.016016425203954,1109.0,17.0,2020-01-27,1126.0,2.0,0.0,17.0
8716.0,9085.0,1977.0,2155.0,1292.750769987766,939.7297286229441,30.33714560953004,32.17612390972013,2020/01/28,8899.750769987766,2065.729728622944,46.35316203473399,2016.5536047132239,49.17612390972013,2020-01-28,1635.0,2.0,509.0,23.0
9978.0,10373.0,2943.0,3160.0,1275.4485979175097,985.1819422380568,48.29140385829225,51.18170019458819,2020/01/29,10175.199367905276,3050.911670861001,94.64456589302624,2950.5538467566926,100.35782410430832,2020-01-29,2261.0,5.0,626.0,38.0
11208.0,11627.0,3948.0,4198.0,1241.782571401267,1021.2834560554379,66.6934065763332,70.63303042904013,2020/01/30,11416.981939306543,4072.1951269164388,161.33797246935944,3901.2042723830905,170.99085453334845,2020-01-30,3053.0,5.0,792.0,50.0
12388.0,12829.0,4979.0,5260.0,1191.2451593224541,1047.0755766066945,85.34585287987687,90.32021514982989,2020/01/31,12608.227098628997,5119.270703523133,246.6838253492363,4857.959633839955,261.31106968317835,2020-01-31,3884.0,10.0,831.0,67.0
13503.0,13962.0,6027.0,6335.0,1123.504404936275,1061.6707843805852,104.03718453377304,110.0187889596478,2020/02/01,13731.731503565272,6180.941487903719,350.72100988300934,5809.611629260892,371.32985864282614,2020-02-01,4968.0,24.0,1084.0,94.0
14533.0,15008.0,7079.0,7413.0,1038.417334412643,1064.2671377651304,122.5433169798223,129.49159639555137,2020/02/02,14770.148837977915,7245.208625668849,473.26432686283164,6744.387170630472,500.8214550383775,2020-02-02,5999.0,51.0,1031.0,136.0
15461.0,15952.0,8121.0,8478.0,936.0422442802883,1054.162791024255,140.62964411815443,148.4909507300007,2020/02/03,15706.191082258203,8299.371416693104,613.8939709809861,7650.059010924726,649.3124057683782,2020-02-03,7101.0,73.0,1102.0,174.0
16272.0,16775.0,9141.0,9519.0,816.649183310481,1030.7700868771535,158.05328979118485,166.7610459681615,2020/02/04,16522.840265568684,9330.141503570258,771.9472607721709,8514.068051833718,816.0734517365397,2020-02-04,8261.0,152.0,1160.0,253.0
16947.0,17461.0,10126.0,10524.0,680.7283627218931,993.6289362971002,174.56557193654862,184.04058506121999,2020/02/05,17203.568628290577,10323.770439867358,946.5128327087197,9323.656403069597,1000.1140367977597,2020-02-05,9476.0,251.0,1215.0,386.0
