Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/02/28,62.0,248.0,0.0,0.0,7.0,0.0,55.0,47.0,78.0,218.0,279.0,2020-02-28,62.0,0.0,7.0
2020/02/29,99.63622609072465,259.5425952975263,37.63622609072465,11.542595297526304,7.668663487528157,0.668663487528157,91.96756260319648,81.0,120.0,229.0,292.0,2020-02-29,70.0,8.0,8.0
2020/03/01,134.1396667116232,290.58140512618843,34.503440620898544,31.038809828662124,8.65207329709092,0.9834098095627635,125.48759341453227,112.0,157.0,258.0,324.0,2020-03-01,76.0,6.0,8.0
2020/03/02,169.88773708090724,340.535377593985,35.74807036928405,49.953972467796575,9.939749254480109,1.2876759573891885,159.94798782642712,145.0,196.0,305.0,377.0,2020-03-02,102.0,26.0,13.0
2020/03/03,210.5034053460864,410.96191686164326,40.61566826517915,70.42653926765826,11.556812613987836,1.6170633595077266,198.94659273209857,183.0,239.0,372.0,451.0,2020-03-03,122.0,20.0,17.0
2020/03/04,259.3936856155974,505.2733771442307,48.89028026951101,94.31146028258746,13.559439442149687,2.0026268281618513,245.83424617344772,228.0,291.0,462.0,550.0,2020-03-04,157.0,35.0,19.0
2020/03/05,320.15155307527056,628.6944484134456,60.75786745967315,123.42107126921485,16.03452212297886,2.475082680829173,304.1170309522917,286.0,356.0,580.0,678.0,2020-03-05,230.0,73.0,20.0
2020/03/06,396.8889618144982,788.3974834881584,76.73740873922765,159.70303507471283,19.102598802081978,3.068076679103118,377.78636301241625,358.0,436.0,734.0,844.0,2020-03-06,317.0,87.0,22.0
2020/03/07,494.5455859399791,993.7776131233069,97.6566241254809,205.38012963514848,22.92361611452212,3.8210173124401408,471.621969825457,451.0,539.0,932.0,1056.0,2020-03-07,424.0,107.0,25.0
2020/03/08,619.2029600276255,1256.8416283158163,124.65737408764642,263.0640151925094,27.705424209001603,4.781808094479484,591.4975358186239,571.0,668.0,1188.0,1327.0,2020-03-08,547.0,123.0,29.0
2020/03/09,778.4229721200085,1592.6856970514582,159.22001209238294,335.84406873564194,33.71512061179387,6.009696402792269,744.7078515082146,724.0,834.0,1515.0,1671.0,2020-03-09,687.0,140.0,30.0
2020/03/10,981.6201112118312,2020.0264921933767,203.1971390918227,427.34079514191853,41.29348616524621,7.578365553452336,940.3266250465849,921.0,1044.0,1933.0,2109.0,2020-03-10,972.0,285.0,36.0
2020/03/11,1240.4657570047377,2561.725882397137,258.84564579290657,541.6993902037602,50.87279074374075,9.579304578494543,1189.592966260997,1172.0,1310.0,2463.0,2661.0,2020-03-11,1281.0,309.0,44.0
2020/03/12,1569.5101136917444,3252.7529866248606,329.0443566870067,691.0271042277236,62.9983373746025,12.125546630861749,1506.511776317142,1492.0,1648.0,3142.0,3365.0,2020-03-12,1716.0,435.0,71.0
2020/03/13,1997.1946610115633,4239.80378203683,427.6845473198189,987.0507954119694,78.3867435100213,15.388406135418805,1918.807917501542,1910.0,2085.0,4113.0,4368.0,2020-03-13,1992.0,276.0,74.0
2020/03/14,2583.335047605435,5730.727037019035,586.1403865938719,1490.9232549822054,98.14137049014035,19.754626980119042,2485.193677115295,2485.0,2684.0,5583.0,5879.0,2020-03-14,2466.0,474.0,91.0
2020/03/15,3422.4571397906,7989.34695099176,839.122092185165,2258.619913972725,124.0462089689694,25.90483847882905,3298.4109308216307,3308.0,3538.0,7815.0,8165.0,2020-03-15,3499.0,1033.0,118.0
2020/03/16,4629.0,11275.674569900599,1206.5428602093998,3286.3276189088383,164.0,39.953791031030605,4465.0,4496.0,4763.0,11068.0,11484.0,2020-03-16,4629.0,1130.0,164.0
2020/03/17,6413.329190816642,16037.146093685838,1784.329190816642,4761.47152378524,211.71556665499767,47.71556665499767,6201.613624161644,6257.0,6571.0,15789.0,16286.0,,,,
2020/03/18,8880.163018327143,21591.750875243502,2466.8338275105007,5554.604781557664,278.11061638781905,66.39504973282138,8602.052401939323,8696.0,9065.0,21304.0,21881.0,,,,
2020/03/19,11963.484783787315,27049.215070981816,3083.321765460172,5457.464195738314,368.9979127637896,90.88729637597055,11594.486871023526,11750.0,12178.0,26727.0,27371.0,,,,
2020/03/20,15434.747793486868,31618.549865132172,3471.2630096995526,4569.334794150356,488.7676469348811,119.7697341710915,14945.980146551987,15192.0,15679.0,31271.0,31968.0,,,,
2020/03/21,19001.80262374138,34995.01349597039,3567.054830254512,3376.463630838214,639.3353905179681,150.567743583087,18362.46723322341,18731.0,19272.0,34628.0,35362.0,,,,
2020/03/22,22435.63010203097,37593.37505202417,3433.8274782895896,2598.36155605378,820.1460716786936,180.8106811607255,21615.484030352276,22142.0,22730.0,37214.0,37974.0,,,,
2020/03/23,25677.230829413384,39912.8050065236,3241.6007273824143,2319.4299544994356,1029.3709997487672,209.2249280700736,24647.859829664616,25364.0,25992.0,39522.0,40304.0,,,,
2020/03/24,28699.508132862215,41862.65924014416,3022.277303448831,1949.8542336205574,1264.914368624162,235.5433688753949,27434.593764238052,28369.0,29033.0,41463.0,42264.0,,,,
2020/03/25,31468.907190014575,43415.46109525267,2769.399057152361,1552.8018551085115,1524.413945334097,259.4995767099349,29944.493244680478,31122.0,31818.0,43007.0,43824.0,,,,
2020/03/26,33958.69132549318,44595.08848126311,2489.7841354786033,1179.6273860104411,1805.2502258964676,280.8362805623706,32153.441099596712,33598.0,34320.0,44181.0,45009.0,,,,
2020/03/27,36155.54666323974,45455.331056841664,2196.855337746558,860.2425755785516,2104.6445022780763,299.39427638160873,34050.90216096166,35784.0,36529.0,45037.0,45872.0,,,,
