Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/02/13,28.0,112.0,0.0,0.0,7.0,0.0,21.0,18.0,39.0,92.0,133.0,2020-02-13,28.0,0.0,7.0
2020/02/14,69.95977089429113,120.18371278722387,41.959770894291125,8.183712787223868,7.4739085606884865,0.4739085606884865,62.48586233360264,54.0,87.0,99.0,142.0,2020-02-14,28.0,0.0,7.0
2020/02/15,99.1097925407155,140.52839469504832,29.150021646424378,20.34468190782445,8.312438054920266,0.8385294942317794,90.79735448579524,80.0,119.0,118.0,164.0,2020-02-15,28.0,0.0,9.0
2020/02/16,126.63686359751222,170.5716816025236,27.527071056796714,30.043286907475277,9.441674183447748,1.1292361285274826,117.19518941406447,105.0,149.0,146.0,197.0,2020-02-16,29.0,1.0,9.0
2020/02/17,158.00517420966972,210.68811188367417,31.3683106121575,40.11643028115057,10.873477305090933,1.4318031216431848,147.13169690457877,134.0,183.0,183.0,240.0,2020-02-17,30.0,1.0,10.0
2020/02/18,196.66482468534716,262.76507432787844,38.65965047567744,52.07696244420427,12.665696042321635,1.7922187372307015,183.99912864302553,170.0,225.0,231.0,295.0,2020-02-18,31.0,1.0,11.0
2020/02/19,245.61074957222314,329.77413619020047,48.945924886875986,67.00906186232203,14.909493177633138,2.243797135311503,230.70125639459002,215.0,277.0,295.0,366.0,2020-02-19,51.0,20.0,14.0
2020/02/20,308.1006264566216,415.7259068839106,62.489876884398484,85.95177069371016,17.728395977342153,2.818902799709015,290.3722304792795,274.0,343.0,376.0,456.0,2020-02-20,104.0,53.0,14.0
2020/02/21,388.05951088468663,525.8081410117682,79.958884428065,110.08223412785753,21.28313305511216,3.5547370777700067,366.77637782957447,350.0,427.0,481.0,571.0,2020-02-21,204.0,100.0,14.0
2020/02/22,490.38674182178175,666.6315322919946,102.32723093709512,140.82339128022647,25.78014487155054,4.4970118164383805,464.6065969502312,448.0,534.0,617.0,718.0,2020-02-22,433.0,229.0,18.0
2020/02/23,621.2556441307308,846.5566079388602,130.8689023089491,179.9250756468656,31.48322998387854,5.703085112328001,589.7724141468523,573.0,671.0,790.0,904.0,2020-02-23,602.0,169.0,25.0
2020/02/24,788.4456187579715,1076.0921811499136,167.18997462724064,229.53557321105336,38.72845824397068,7.245228260092137,749.7171605140009,734.0,844.0,1012.0,1141.0,2020-02-24,833.0,231.0,26.0
2020/02/25,1001.7234953989574,1368.357468652549,213.27787664098594,292.2652875026354,47.94277085889563,9.21431261492495,953.7807245400618,940.0,1064.0,1296.0,1441.0,2020-02-25,977.0,144.0,32.0
2020/02/26,1273.2772373194548,1739.5913791744147,271.5537419204974,371.2339105218657,59.66679066031952,11.724019801423893,1213.6104466591353,1204.0,1344.0,1658.0,1822.0,2020-02-26,1261.0,284.0,35.0
2020/02/27,1618.1909943972992,2209.6733943341737,344.91375707784437,470.08201515975907,74.58231518095306,14.91552452063354,1543.608679216346,1540.0,1698.0,2118.0,2302.0,2020-02-27,2022.0,761.0,35.0
2020/02/28,2054.9308772853797,2802.5887310038433,436.7398828880805,592.9153366696696,93.54474490034313,18.962429719390073,1961.3861323850365,1967.0,2144.0,2699.0,2907.0,2020-02-28,2337.0,315.0,35.0
2020/02/29,2605.781044267069,3546.722397476635,550.8501669816892,744.1336664727914,117.62021735465244,24.075472454309306,2488.1608269124163,2506.0,2706.0,3431.0,3664.0,2020-02-29,3526.0,1189.0,44.0
2020/03/01,3297.1264552964044,4474.800878343187,691.3454110293355,928.0784808665521,148.12634018746274,30.506122832810306,3149.000115108942,3185.0,3410.0,4344.0,4606.0,2020-03-01,3736.0,210.0,47.0
2020/03/02,4159.420247813921,5623.219532645487,862.293792517517,1148.4186543022997,186.67400951720523,38.54766932974249,3972.746238296716,4033.0,4286.0,5477.0,5770.0,2020-03-02,4335.0,599.0,58.0
2020/03/03,5226.603947203747,7030.414047306949,1067.183699389826,1407.1945146614626,235.20570290337326,48.53169338616803,4991.398244300374,5085.0,5369.0,6866.0,7195.0,2020-03-03,5186.0,851.0,58.0
2020/03/04,6534.681299374357,8733.890489403517,1308.0773521706096,1703.4764420965676,296.02279464474253,60.81709174136927,6238.658504729615,6377.0,6693.0,8551.0,8918.0,2020-03-04,5621.0,435.0,76.0
