,Date,Remain_confirm,Official_confirmed,Predict_confirm,Dailynew_confirm,Predict_actual
0,2020/02/10,41979.77356469162,47374.0,48979.11727862834,949.8007455372954,69750.87006107092
1,2020/02/11,49603.560342273195,54369.0,57696.89133913744,8717.7740605091,69966.39531062012
2,2020/02/12,53302.607113176695,59791.0,62593.4652079772,4896.57386883976,70420.76421566175
3,2020/02/13,55038.70516467625,63707.15778,65574.49200095992,2981.026792982717,71000.6540876764
4,2020/02/14,55785.659798026754,66274.4307,67585.39235244348,2010.900351483555,71650.49481999579
5,2020/02/15,56029.42678763774,68150.53945,69097.62302367607,1512.2306712325933,72343.140256582
6,2020/02/16,56014.58469074896,70113.2516,70348.27588311402,1250.6528594379615,73065.43374422134
7,2020/02/17,55865.89512212082,72011.61407,71458.21782544037,1109.941942326337,73811.10507745267
8,2020/02/18,55648.33371203979,73971.77825,72490.40878676405,1032.1909613236749,74577.27556507284
9,2020/02/19,55396.79548369691,74870.15139,73478.74096393923,988.3321771751889,75362.73864795663
10,2020/02/20,54269.39211677344,75638.0,74588.07954805481,1109.3385841155741,76167.1141981766
11,2020/02/21,53042.12216225049,76035.0,75489.73857350305,901.6590254482508,76990.43268703992
12,2020/02/22,51345.01926166523,76683.0,76424.42282603329,934.6842525302328,77874.45663160304
13,2020/02/23,49811.4661043269,77150.0,77325.79858711261,901.3757610793272,78766.79205544377
14,2020/02/24,48457.59796249682,77658.0,78228.28954856892,902.4909614563095,79662.0898175853
15,2020/02/25,45153.57207473315,78046.0,78795.34071419117,567.0511656222607,79791.67237322715
16,2020/02/26,41967.92429949451,78497.0,79194.3814601129,399.0407459217241,79911.60285291827
17,2020/02/27,38945.661051684234,78824.0,79486.15766741401,291.7762073011,80022.86924544645
18,2020/02/28,36106.91696093694,79251.0,79708.3904513425,222.2327839284808,80126.26339621608
19,2020/02/29,33457.182341894106,79824.0,79884.607509339,176.217057996515,80222.44437042632
20,2020/03/01,30993.535919644957,80026.0,80029.57263202508,144.96512268607694,80311.978109868
21,2020/03/02,28708.426913242874,80140.0,80152.6266060163,123.05397399123285,80395.3625155993
22,2020/03/03,26591.954643727557,80255.0,80259.74521359956,107.11860758323746,80473.04355354748
23,2020/03/04,24633.22784978134,80389.0,80354.80865360278,95.0634400032486,80545.42581304118
24,2020/03/05,22821.161311400338,80516.0,80440.38584813998,85.57719453718528,80612.879621769
25,2020/03/06,21144.92942368568,80591.0,80518.22000419737,77.83415605738811,80675.74600809145
26,2020/03/07,19594.2116875234,80632.0,80589.53002326711,71.31001906974961,80734.3403044014
27,2020/03/08,18159.31291718549,80668.0,80655.19819249077,65.6681692236525,80749.83103916775
28,2020/03/09,16785.01127643694,80685.0,80669.68984528635,14.491652795582924,80749.83103916775
29,2020/03/10,15393.85389809346,80699.0,80683.71778739913,14.027942112777966,80749.83103916775
30,2020/03/11,14271.787122652648,80708.0,80695.98582479813,12.26803739899333,80749.83103916775
31,2020/03/12,13218.921543237195,80713.0,80707.33445862767,11.348633829535174,80749.83103916775
32,2020/03/13,12233.245264215724,80729.0,80717.8511115461,10.516652918444379,80749.83103916775
33,2020/03/14,11284.740234774681,80733.0,80728.65323884903,10.802127302922601,80749.83103916775
34,2020/03/15,10433.638785113168,80737.0,80738.63407103576,9.980832186733096,80749.83103916775
35,2020/03/16,8917.169596841124,80738.0,80740.46298964482,1.8289186090569274,80749.83103916775
36,2020/03/17,8221.530316547784,,80743.85440486216,3.391415217329268,80749.83103916775
37,2020/03/18,7563.058682632955,,80745.99562688879,2.141222026639298,80749.83103916775
38,2020/03/19,6944.117624945964,,80747.35397990758,1.358353018789785,80749.83103916775
39,2020/03/20,6375.614722939135,,80748.2202747837,0.8662948761175358,80749.83103916775
40,2020/03/21,5866.644770146158,,80748.77598955874,0.555714775033266,80749.83103916775
41,2020/03/22,5392.415060195581,,80749.1347405891,0.35875103038597445,80749.83103916775
42,2020/03/23,4976.7581818947665,,80749.36792156094,0.23318097182891506,80749.83103916775
43,2020/03/24,4615.0980568892555,,80749.52058245322,0.1526608922667947,80749.83103916775
44,2020/03/25,4277.697694698247,,80749.62128403911,0.10070158589041966,80749.83103916775
45,2020/03/26,3963.018873321489,,80749.68822825555,0.06694421644351678,80749.83103916775
46,2020/03/27,3669.585961459241,,80749.73308236187,0.04485410632514686,80749.83103916775
47,2020/03/28,3395.997869319253,,80749.76337205384,0.030289691969301202,80749.83103916775
48,2020/03/29,3140.932908094328,,80749.78398451427,0.020612460442862357,80749.83103916775
49,2020/03/30,2903.149474520957,,80749.79811630276,0.014131788462691475,80749.83103916775
50,2020/03/31,2681.484334728848,,80749.8078739389,0.009757636153153726,80749.83103916775
51,2020/04/01,2474.8495831062687,,80749.8146563844,0.006782445501812617,80749.83103916775
52,2020/04/02,2282.228924990515,,80749.81940002242,0.00474363801185973,80749.83103916775
53,2020/04/03,2102.6736712450797,,80749.82273655501,0.0033365325907652736,80749.83103916775
54,2020/04/04,1935.2986737715617,,80749.82509543539,0.0023588803851453126,80749.83103916775
55,2020/04/05,1779.2783342561527,,80749.82677080907,0.0016753736799728358,80749.83103916775
56,2020/04/06,1633.8427596939002,,80749.82796559855,0.0011947894927288871,80749.83103916775
57,2020/04/07,1498.2741028262753,,80749.82882073394,0.0008551353766961256,80749.83103916775
58,2020/04/08,1371.9031043875875,,80749.82943470411,0.0006139701799838804,80749.83103916775
59,2020/04/09,1254.105841487566,,80749.82987673163,0.0004420275090524228,80749.83103916775
60,2020/04/10,1144.3006791795995,,80749.83019572415,0.00031899253190204035,80749.83103916775
61,2020/04/11,1041.9454181947292,,80749.83042639963,0.00023067546862876037,80749.83103916775
62,2020/04/12,946.5346296544012,,80749.8305935034,0.000167103773492272,80749.83103916775
63,2020/04/13,857.597166618958,,80749.83071473648,0.00012123308260925114,80749.83103916775
64,2020/04/14,774.6938420217411,,80749.83080280077,8.806428559182677e-05,80749.83103916775
