Dailynew_confirm,Dailynew_remove,Date,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
0.0,0.0,2020/03/06,21314.578019274908,18731.1677082133,2583.4103110616097,2020-03-06,21227.0,0.0,2396.0
3307.866505578262,620.7758266600886,2020/03/07,24622.44452485317,21418.25838713147,3204.1861377216983,2020-03-07,25184.0,3957.0,3369.0
3848.3847329965356,714.4507376356742,2020/03/08,28470.829257849706,24552.192382492332,3918.6368753573724,2020-03-08,29136.0,3952.0,4081.0
4539.597361872889,818.6752871794833,2020/03/09,33010.426619722595,28273.11445718574,4737.312162536856,2020-03-09,32847.0,3711.0,4653.0
5394.835861029904,935.7229888976126,2020/03/10,38405.2624807525,32732.22732931803,5673.035151434468,2020-03-10,37667.0,4820.0,5701.0
6423.906389514101,1067.528533748905,2020/03/11,44829.1688702666,38088.60518508323,6740.563685183373,2020-03-11,43411.0,5744.0,6636.0
7623.1213570139225,1234.2919915212497,2020/03/12,52452.29022728052,44477.4345505759,7974.855676704623,2020-03-12,53633.0,10222.0,7996.0
8803.778003551706,1391.7431326024816,2020/03/13,61256.06823083223,51889.46942152512,9366.598809307105,2020-03-13,64400.0,10767.0,9175.0
9935.069580840893,1552.2440904713494,2020/03/14,71191.13781167312,60272.29491189467,10918.842899778454,2020-03-14,72876.0,8377.0,11234.0
11291.801304493973,1713.3426343402589,2020/03/15,82482.9391161671,69850.75358204838,12632.185534118713,2020-03-15,87217.0,14341.0,12895.0
12825.830440410922,1876.8712312895732,2020/03/16,95308.76955657802,80799.71279116973,14509.056765408286,2020-03-16,98831.0,11614.0,14923.0
14491.088893788547,2043.063262294023,2020/03/17,109799.85845036656,93247.73842266426,16552.12002770231,,,,
16226.637485474945,2211.2334157179503,2020/03/18,126026.4959358415,107263.14249242125,18763.35344342026,,,,
17920.18920908794,2380.0924837315724,2020/03/19,143946.68514492945,122803.23921777762,21143.44592715183,,,,
19395.52652604092,2547.394266230036,2020/03/20,163342.21167097037,139651.3714775885,23690.840193381868,,,,
20481.027871969913,2709.691875092896,2020/03/21,183823.23954294028,157422.7074744655,26400.532068474764,,,,
21096.042223815573,2863.145562629168,2020/03/22,204919.28176675586,175655.60413565193,29263.677631103932,,,,
21258.346793243865,3004.7606679630444,2020/03/23,226177.62855999972,193909.19026093275,32268.438299066976,,,,
21041.187963126256,3132.9598152675826,2020/03/24,247218.81652312598,211817.41840879142,35401.39811433456,,,,
20536.573945899203,3247.424679762611,2020/03/25,267755.3904690252,229106.567674928,38648.82279409717,,,,
19833.198877146642,3348.660906956742,2020/03/26,287588.5893461718,245591.1056451179,41997.48370105391,,,,
19002.760976860416,3437.5826515097433,2020/03/27,306591.35032303224,261156.2839704686,45435.066352563656,,,,
18094.13906780345,3515.2092507642956,2020/03/28,324685.4893908357,275735.21378750773,48950.27560332795,,,,
17138.0235425579,3582.5061591426347,2020/03/29,341823.5129333936,289290.731170923,52532.781762470586,,,,
16149.350524608395,3640.307872614292,2020/03/30,357972.863458002,301799.77382291714,56173.08963508488,,,,
15137.505954677588,3689.2399208916104,2020/03/31,373110.3694126796,313248.0398567031,59862.32955597649,,,,
14115.111935699882,3729.744364107457,2020/04/01,387225.48134837946,323633.4074282955,63592.073920083945,,,,
13099.151773184189,3762.1387167045323,2020/04/02,400324.63312156365,332970.42048477515,67354.21263678848,,,,
12108.446851524117,3786.6745923785784,2020/04/03,412433.07997308776,341292.1927439207,71140.88722916706,,,,
11160.089217612753,3803.585684195714,2020/04/04,423593.1691907005,348648.69627733773,74944.47291336277,,,,
10266.828014432627,3813.121362461432,2020/04/05,433859.99720513314,355102.40292930894,78757.5942758242,,,,
9436.057526409568,3815.566385218044,2020/04/06,443296.0547315427,360722.89407050045,82573.16066104225,,,,
8670.07946668414,3811.24922638922,2020/04/07,451966.13419822685,365581.72431079537,86384.40988743147,,,,
7967.038176158734,3800.541847239423,2020/04/08,459933.1723743856,369748.2206397147,90184.95173467089,,,,
7322.080839176604,3783.853638605491,2020/04/09,467255.2532135622,373286.44784028584,93968.80537327638,,,,
6728.525134039926,3761.6220114195603,2020/04/10,473983.7783476021,376253.35096290614,97730.42738469594,,,,
6178.957964643196,3734.301750778788,2020/04/11,480162.7363122453,378698.0071767706,101464.72913547473,,,,
5666.2203097124,3702.354813278347,2020/04/12,485828.9566219577,380661.87267320463,105167.08394875308,,,,
5184.2154883381445,3666.2416199835716,2020/04/13,491013.17211029585,382179.8465415592,108833.32556873665,,,,
4728.460259604035,3626.414398261957,2020/04/14,495741.6323698999,383281.8924029013,112459.7399669986,,,,
4296.3149761906825,3583.312478674823,2020/04/15,500037.9473460906,383994.89490041713,116043.05244567343,,,,
