Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
103.0,146.0,21.0,42.0,0.0,0.0,0.0,2020/03/05,124.0,31.0,31.0,0.0,2020-03-05,31.0,0.0,0.0
119.0,166.0,27.0,52.0,17.787650026893772,8.164938039231487,0.3002688529149611,2020/03/06,141.78765002689377,39.16493803923149,38.864669186316526,0.3002688529149611,2020-03-06,45.0,14.0,0.0
143.0,194.0,35.0,63.0,26.03380385172892,9.264221925199315,0.37199120673098185,2020/03/07,167.8214538786227,48.4291599644308,47.75689990478486,0.6722600596459429,2020-03-07,46.0,1.0,0.0
177.0,233.0,45.0,75.0,36.41903478660336,11.021767179651015,0.4552610953659495,2020/03/08,204.24048866522605,59.45092714408182,58.323405989069926,1.1275211550118924,2020-03-08,73.0,27.0,0.0
223.0,286.0,57.0,90.0,49.704152421454125,13.586664087007804,0.5562268022117294,2020/03/09,253.94464108668018,73.03759123108962,71.353843273866,1.6837479572236218,2020-03-09,73.0,0.0,0.0
286.0,356.0,72.0,109.0,66.85325941577759,17.165228304043723,0.6824991120036039,2020/03/10,320.79790050245776,90.20281953513334,87.83657246590612,2.3662470692272257,2020-03-10,89.0,16.0,0.0
371.0,450.0,92.0,133.0,89.08576136524914,22.034847920655338,0.843686569392966,2020/03/11,409.8836618677069,112.23766745578868,109.0277338171685,3.2099336386201918,2020-03-11,99.0,10.0,1.0
483.0,573.0,118.0,165.0,117.9319779168726,28.561080034039833,1.0520587655979865,2020/03/12,527.8156397845795,140.79874748982851,136.53675508561034,4.261992404218178,2020-03-12,99.0,0.0,1.0
632.0,735.0,152.0,205.0,155.28541848399243,37.217780067188414,1.32336405330516,2020/03/13,683.1010582685719,178.01652755701693,172.43117109949358,5.585356457523338,2020-03-13,190.0,91.0,1.0
829.0,945.0,198.0,257.0,203.4377972473335,48.609235973793375,1.6778223606068403,2020/03/14,886.5388555159054,226.6257635308103,219.36258471268013,7.263178818130179,2020-03-14,228.0,38.0,11.0
1086.0,1219.0,257.0,324.0,265.0718007036569,63.491834308628796,2.141299986088537,2020/03/15,1151.6106562195623,290.1175978394391,280.71311903522036,9.404478804218716,2020-03-15,331.0,103.0,12.0
1419.0,1571.0,316.0,389.0,343.17061831962974,61.8824021605609,4.595521195781284,2020/03/16,1494.781274539192,352.0,338.0,14.0,2020-03-16,352.0,21.0,14.0
1617.0,1779.0,411.0,494.0,202.93958689355486,99.76195948752621,3.32009868409148,2020/03/17,1697.720861432747,451.7619594875262,434.44186080343474,17.32009868409148,,,,
1901.0,2076.0,517.0,610.0,290.4362862214173,111.54202874746733,4.193019603295038,2020/03/18,1988.1571476541642,563.3039882349935,541.790869947607,21.51311828738652,,,,
2287.0,2479.0,642.0,745.0,394.4342922989679,130.0705668874781,5.187844069531483,2020/03/19,2382.591439953132,693.3745551224716,666.6735927655536,26.700962356918,,,,
2795.0,3007.0,793.0,907.0,517.84836366946,156.2570535969012,6.365171359004567,2020/03/20,2900.439803622592,849.6316087193728,816.5654750034503,33.06613371592257,,,,
3446.0,3681.0,978.0,1104.0,662.4092870188019,191.12992634426234,7.793467739346795,2020/03/21,3562.849090641394,1040.7615350636352,999.9019336083658,40.85960145526936,,,,
4261.0,4521.0,1207.0,1347.0,827.629512650688,235.6916058369452,9.549449843939215,2020/03/22,4390.478603292082,1276.4531409005804,1226.0440896013718,50.40905129920858,,,,
5257.0,5544.0,1490.0,1645.0,1009.5041281366384,290.69016969456175,11.71687468405333,2020/03/23,5399.98273142872,1567.143310595142,1505.0173846118803,62.12592598326191,,,,
6440.0,6759.0,1838.0,2010.0,1199.2197659963076,356.30230824539194,14.382997541742967,2020/03/24,6599.202497425028,1923.445618840534,1846.9366953155293,76.50892352500487,,,,
7807.0,8157.0,2260.0,2451.0,1382.4350934051326,431.7564220161428,17.632045165802566,2020/03/25,7981.637590830161,2355.202040856677,2261.0610721658695,94.14096869080744,,,,
9331.0,9714.0,2766.0,2976.0,1539.9254841215325,514.9783010870392,21.535530531927037,2020/03/26,9521.563074951693,2870.180341943716,2754.5038427209815,115.67649922273448,,,,
10965.0,11379.0,3358.0,3588.0,1650.2793820748648,602.3978829109465,26.140190969658065,2020/03/27,11171.842457026558,3472.5782248546625,3330.76153466227,141.81669019239254,,,,
12644.0,13089.0,4036.0,4289.0,1694.6310906506897,689.0756726402146,31.455640449544745,2020/03/28,12866.473547677248,4161.653897494877,3988.3815668529396,173.2723306419373,,,,
14293.0,14765.0,4794.0,5069.0,1662.1899723520328,769.2452099684124,37.44497266653397,2020/03/29,14528.66352002928,4930.8991074632895,4720.181804154819,210.71730330847126,,,,
15835.0,16332.0,5620.0,5917.0,1554.2948613931985,837.2137060547702,44.021745496323945,2020/03/30,16082.958381422479,5768.11281351806,5513.373764713265,254.7390488047952,,,,
17210.0,17728.0,6497.0,6817.0,1384.8669806048201,888.3796707827496,51.05544229536693,2020/03/31,17467.8253620273,6656.492484300809,6350.697993200647,305.79449110016213,,,,
