Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/01,130.0,520.0,0.0,0.0,16.0,0.0,114.0,108.0,153.0,476.0,565.0,2020-03-01,130.0,0.0,16.0
2020/03/02,216.31056752923243,548.3508438921284,86.31056752923243,28.35084389212841,16.308721841208868,0.30872184120886814,200.00184568802356,188.0,246.0,503.0,595.0,2020-03-02,159.0,29.0,16.0
2020/03/03,295.78667708966765,626.5069589798745,79.47610956043522,78.15611508774612,16.776240258205526,0.46751841699665775,279.01043683146213,262.0,330.0,578.0,676.0,2020-03-03,196.0,37.0,16.0
2020/03/04,380.45522274335065,753.9822091536352,84.668545653683,127.47525017376063,17.401139400352317,0.6248991421467913,363.05408334299835,343.0,419.0,701.0,808.0,2020-03-04,262.0,66.0,16.0
2020/03/05,480.3919109729355,936.7441870351945,99.93668822958483,182.76197788155935,18.203223290652833,0.8020838903005156,462.18868768228265,438.0,524.0,877.0,997.0,2020-03-05,545.0,283.0,16.0
2020/03/06,605.430870488984,1186.4533683098562,125.03895951604858,249.70918127466166,19.221434194072792,1.0182109034199591,586.2094362949113,558.0,654.0,1119.0,1254.0,2020-03-06,670.0,125.0,17.0
2020/03/07,766.4346301145292,1520.4811727529332,161.00375962554517,334.027804443077,20.514631871051964,1.2931976769791724,745.9199982434773,713.0,821.0,1445.0,1597.0,2020-03-07,799.0,129.0,18.0
2020/03/08,976.3564683212979,1962.4484580205658,209.9218382067687,441.96728526763263,22.164616412189947,1.6499845411379823,954.191851909108,916.0,1038.0,1876.0,2050.0,2020-03-08,1040.0,241.0,18.0
2020/03/09,1251.229065190296,2543.0821657958413,274.87259686899813,580.6337077752755,24.28112927751186,2.116512865321912,1226.9479359127843,1182.0,1321.0,2445.0,2642.0,2020-03-09,1176.0,136.0,20.0
2020/03/10,1611.140201819336,3301.169721866604,359.9111366290399,758.0875560707627,27.008755251208804,2.727625973696945,1584.131446568127,1533.0,1690.0,3189.0,3414.0,2020-03-10,1457.0,281.0,20.0
2020/03/11,2081.18653901126,4284.296661776087,470.04633719192384,983.1269399094826,30.535699646108778,3.5269443948999744,2050.650839365151,1992.0,2171.0,4157.0,4413.0,2020-03-11,1908.0,451.0,28.0
2020/03/12,2692.312287879966,5548.876401104451,611.1257488687061,1264.5797393283647,35.10431908933801,4.568619443229235,2657.207968790628,2591.0,2795.0,5403.0,5695.0,2020-03-12,2745.0,837.0,31.0
2020/03/13,3481.826632624646,7158.7277835862,789.5143447446803,1609.8513824817483,41.02299828781305,5.91867919847504,3440.803634336833,3367.0,3598.0,6993.0,7325.0,2020-03-13,3675.0,930.0,54.0
2020/03/14,4493.245586331457,9181.172349479395,1011.418953706811,2022.4445658931954,48.67842496577498,7.655426677961927,4444.567161365682,4363.0,4625.0,8994.0,9369.0,2020-03-14,4585.0,910.0,54.0
2020/03/15,5774.9350671386765,11679.448015734592,1281.6894808072193,2498.2756662551965,58.54646132147372,9.868036355698742,5716.388605817203,5626.0,5924.0,11469.0,11892.0,2020-03-15,5795.0,1210.0,58.0
2020/03/16,7272.0,14700.453836952907,1497.0649328613235,3021.0058212183158,62.0,3.4535386785262787,7210.0,7105.0,7440.0,14463.0,14939.0,2020-03-16,7272.0,1477.0,62.0
2020/03/17,9263.943556108341,18269.363728688382,1991.943556108341,3568.909891735475,77.93851742173536,15.938517421735355,9186.005038686606,9076.0,9453.0,18004.0,18534.0,,,,
2020/03/18,11653.652357426305,22341.844554137104,2389.7088013179637,4072.4808254487216,98.11359210710017,20.17507468536482,11555.538765319205,11442.0,11866.0,22049.0,22636.0,,,,
2020/03/19,14452.796408840466,26806.899657398175,2799.1440514141614,4465.055103261071,123.3087573535949,25.195165246494724,14329.487651486872,14218.0,14689.0,26487.0,27128.0,,,,
2020/03/20,17638.451557952652,31481.645750791427,3185.6551491121863,4674.7460933932525,154.29651858072998,30.98776122713508,17484.155039371923,17379.0,17899.0,31134.0,31830.0,,,,
2020/03/21,21146.474546412224,36127.62449218023,3508.022988459572,4645.978741388801,191.76355564775938,37.467037067029395,20954.710990764466,20861.0,21431.0,35756.0,36501.0,,,,
