Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/06,109.0,436.0,0.0,0.0,1.0,0.0,108.0,89.0,130.0,395.0,477.0,2020-03-06,109.0,0.0,1.0
2020/03/07,147.12155675867623,455.05663460777043,38.121556758676235,19.056634607770434,1.1675262187500965,0.16752621875009654,145.95403053992615,124.0,171.0,414.0,497.0,2020-03-07,169.0,60.0,1.0
2020/03/08,185.23716881687128,511.35059434294647,38.11561205819504,56.29395973517603,1.3845181833260394,0.21699196457594283,183.85265063354524,159.0,212.0,467.0,556.0,2020-03-08,200.0,31.0,1.0
2020/03/09,227.6711658047889,606.715496534592,42.433996987917624,95.36490219164557,1.6537829010787275,0.2692647177526881,226.01738290371017,199.0,258.0,559.0,656.0,2020-03-09,239.0,39.0,1.0
2020/03/10,278.69472954428784,746.9247931985199,51.02356373949894,140.20929666392783,1.9837283741969605,0.32994547311823297,276.71100117009087,246.0,312.0,694.0,801.0,2020-03-10,267.0,28.0,1.0
2020/03/11,342.9776097819067,941.663990773299,64.28288023761888,194.73919757477915,2.3885900108532154,0.40486163665625496,340.58901977105353,307.0,380.0,882.0,1002.0,2020-03-11,314.0,47.0,4.0
2020/03/12,426.00105370341606,1204.7585427063923,83.02344392150934,263.09455193309327,2.8892219272106936,0.5006319163574782,423.11183177620535,386.0,467.0,1137.0,1273.0,2020-03-12,399.0,85.0,4.0
2020/03/13,534.4583595694107,1554.5280504383582,108.45730586599467,349.76950773196586,3.5144208189065194,0.6251988916958258,530.9439387505042,490.0,580.0,1478.0,1632.0,2020-03-13,556.0,157.0,4.0
2020/03/14,676.6489922323944,2014.0844250309929,142.19063266298372,459.5563745926347,4.302771795786808,0.7883509768802885,672.3462204366076,626.0,728.0,1927.0,2103.0,2020-03-14,689.0,133.0,5.0
2020/03/15,862.8453565729528,2611.292364423201,186.19636434055838,597.2079393922081,5.304996723806997,1.0022249280201887,857.5403598491458,806.0,921.0,2512.0,2712.0,2020-03-15,886.0,197.0,5.0
