Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
726.0,835.0,108.0,153.0,0.0,0.0,0.0,2020/03/01,780.0,130.0,116.0,14.0,2020-03-01,130.0,0.0,14.0
760.0,871.0,204.0,264.0,34.93936442383858,103.3887552280789,0.9734566756134893,2020/03/02,814.9393644238386,233.3887552280789,218.41529855246543,14.97345667561349,2020-03-02,191.0,61.0,15.0
857.0,975.0,296.0,367.0,100.68973963286669,98.03446944583263,1.5431516246427126,2020/03/03,915.6291040567053,331.42322467391153,314.9066163736553,16.516608300256202,2020-03-03,204.0,13.0,16.0
1017.0,1146.0,395.0,476.0,165.84215086633094,103.64163235572408,2.1112588546808517,2020/03/04,1081.4712549230362,435.0648570296356,416.43698987469855,18.627867154937054,2020-03-04,285.0,81.0,16.0
1248.0,1390.0,508.0,601.0,236.83196794950686,118.93537141516947,2.736726784347482,2020/03/05,1318.303222872543,554.0002284448051,532.6356345055206,21.364593939284536,2020-03-05,423.0,138.0,19.0
1559.0,1718.0,647.0,750.0,319.40507999431134,143.78109481936394,3.474249300944855,2020/03/06,1637.7083028668544,697.781323264169,672.9424800239397,24.83884324022939,2020-03-06,653.0,230.0,21.0
1968.0,2146.0,819.0,935.0,419.1266848862765,178.9424792465287,4.380109853548564,2020/03/07,2056.834987753131,876.7238025106977,847.5048494169198,29.218953093777955,2020-03-07,949.0,296.0,23.0
2499.0,2699.0,1038.0,1168.0,541.6863771588878,225.94009774724998,5.5169104923162635,2020/03/08,2598.5213649120187,1102.6639002579477,1067.9280366718535,34.73586358609422,2020-03-08,1126.0,177.0,31.0
3180.0,3405.0,1317.0,1463.0,692.9987291121843,286.9635528953943,6.9576340947835575,2020/03/09,3291.520094024203,1389.627453153342,1347.9339554724643,41.693497680877776,2020-03-09,1209.0,83.0,31.0
4045.0,4298.0,1673.0,1837.0,879.0565874026615,364.7940800650133,8.789226517711477,2020/03/10,4170.5766814268645,1754.4215332183553,1703.938809019766,50.48272419858925,2020-03-10,1784.0,575.0,45.0
5134.0,5419.0,2125.0,2310.0,1105.4535777860665,462.6910692259794,11.115631919456582,2020/03/11,5276.030259212931,2217.1126024443347,2155.5142463262887,61.598356118045835,2020-03-11,2281.0,497.0,60.0
6493.0,6813.0,2698.0,2906.0,1376.4600015302167,584.1875576857242,14.059921721130557,2020/03/12,6652.490260743148,2801.300160130059,2725.6418822908827,75.65827783917639,2020-03-12,2876.0,595.0,73.0
8167.0,8525.0,3418.0,3651.0,1693.5353945022534,732.7294546656012,17.764813314631212,2020/03/13,8346.025655245401,3534.02961479566,3440.6065236418526,93.4230911538076,2020-03-13,3661.0,785.0,91.0
10200.0,10600.0,4315.0,4576.0,2053.2308852341066,911.0896006135376,22.390485466492606,2020/03/14,10399.256540479508,4445.119215409198,4329.305638788897,115.81357662030021,2020-03-14,4500.0,839.0,103.0
12622.0,13067.0,5279.0,5568.0,2444.632075499636,977.8807845908023,42.18642337969979,2020/03/15,12843.888615979144,5423.0,5265.0,158.0,2020-03-15,5423.0,923.0,158.0
12916.0,13366.0,6439.0,6758.0,296.8166326628998,1174.8057865631881,33.8435555636255,2020/03/16,13140.705248642043,6597.805786563188,6405.962230999563,191.8435555636255,2020-03-16,6633.0,1210.0,179.0
13744.0,14208.0,7508.0,7852.0,835.1025705027478,1081.917370445699,40.107343033021664,2020/03/17,13975.807819144791,7679.723157008887,7447.77225841224,231.95089859664716,,,,
15047.0,15531.0,8579.0,8946.0,1312.183446558005,1082.317285045675,46.08099430107313,2020/03/18,15287.991265702796,8762.040442054562,8484.008549156842,278.0318928977203,,,,
16781.0,17291.0,9721.0,10111.0,1747.3918628737265,1153.6060783407793,52.236376716983386,2020/03/19,17035.383128576523,9915.646520395341,9585.378250780637,330.2682696147037,,,,
18911.0,19454.0,10988.0,11402.0,2146.8538340426385,1278.845125892687,58.930684281317724,2020/03/20,19182.23696261916,11194.491646288028,10805.292692392008,389.1989538960214,,,,
21398.0,21976.0,12418.0,12859.0,2503.8578192600944,1443.6509104040124,66.42994780046922,2020/03/21,21686.094781879256,12638.14255669204,12182.51365499555,455.62890169649063,,,,
24180.0,24794.0,14038.0,14507.0,2800.874129008498,1633.931029354544,74.91741848611298,2020/03/22,24486.968910887754,14272.073586046585,13741.52726586398,530.5463201826036,,,,
27176.0,27826.0,15858.0,16355.0,3013.5658992243843,1834.4435154017992,84.4911169671168,2020/03/23,27500.534810112138,16106.517101448384,15491.479664298664,615.0374371497204,,,,
30275.0,30961.0,17871.975000000002,18399.0,3116.9905750562066,2028.3842150549226,95.15596529407162,2020/03/24,30617.525385168345,18134.901316503307,17424.707914059516,710.193402443792,,,,
33352.0,34073.0,20054.0,20614.0,3093.286194047607,2198.1440476359203,106.81692329732402,2020/03/25,33710.81157921595,20333.045364139227,19516.03503839811,817.010325741116,,,,
36274.0,37025.0,22365.0,22956.0,2938.8642724493548,2327.141068033481,119.27977311506788,2020/03/26,36649.675851665306,22660.186432172708,21723.896333316523,936.2900988561839,,,,
38929.0,39707.0,24752.0,25373.0,2668.368202756683,2402.265500603313,132.2645531566916,2020/03/27,39318.04405442199,25062.45193277602,23993.897280763143,1068.5546520128755,,,,
41232.0,42032.0,27155.0,27804.0,2313.281936183368,2416.1482723427653,145.43293927560512,2020/03/28,41631.32599060536,27478.600205118786,26264.612613830304,1213.9875912884806,,,,
43138.0,43956.0,29509.0,30187.0,1915.2076348547926,2368.4116961528744,158.42597271703085,2020/03/29,43546.53362546015,29847.01190127166,28474.59833726615,1372.4135640055115,,,,
44647.0,45480.0,31762.0,32464.0,1516.32799413443,2265.405560662828,170.9045170676352,2020/03/30,45062.86161959458,32112.41746193449,30569.099380861342,1543.3180810731467,,,,
45794.0,46636.0,33869.0,34594.0,1150.790170839733,2118.520222474992,182.58366384012197,2020/03/31,46213.65179043431,34230.93768440948,32505.03593949621,1725.9017449132687,,,,
46629.0,47479.0,35801.0,36545.0,839.8766316386245,1941.6984662122923,193.25450684393604,2020/04/01,47053.52842207294,36172.63615062177,34253.47989886457,1919.1562517572047,,,,
47217.0,48073.0,37540.0,38303.0,591.6680154606875,1748.947864408583,202.79107032692082,2020/04/02,47645.196437533625,37921.584015030356,35799.63669294623,2121.9473220841255,,,,
47620.0,48480.0,39086.0,39864.0,403.94948935852153,1552.4737529736885,211.1444196418779,2020/04/03,48049.145926892146,39474.057768004044,37140.96602627804,2333.0917417260034,,,,
47887.0,48749.0,40440.0,41232.0,268.36002070840914,1361.682587033727,218.32851671318713,2020/04/04,48317.505947600555,40835.74035503777,38284.32009659858,2551.4202584391905,,,,
48060.0,48923.0,41618.0,42420.0,174.15589943102532,1182.9737364922985,224.40278193274935,2020/04/05,48491.66184703158,42018.71409153007,39242.89105115813,2775.82304037194,,,,
48171.0,49036.0,42633.0,43446.0,110.80395305575075,1020.0620586849836,229.45522686539834,2020/04/06,48602.46580008733,43038.77615021505,40033.49788297772,3005.2782672373382,,,,
48240.0,49105.0,43502.0,44324.0,69.34031504234736,874.5533761719053,233.58839846782212,2020/04/07,48671.80611512968,43913.32952638696,40674.4628606818,3238.8666657051604,,,,
48283.0,49147.0,44246.0,45074.0,42.80406736776058,746.5629879531916,236.90892745150495,2020/04/08,48714.61018249744,44659.89251434015,41184.116921183486,3475.7755931566653,,,,
48308.0,49174.0,44879.0,45713.0,26.13053506331198,635.2572121268386,239.52052179890006,2020/04/09,48740.74071756075,45295.14972646699,41579.853611511426,3715.2961149555654,,,,
48324.0,49190.0,45415.0,46254.0,15.809594876940537,539.2716941871986,241.51977810284006,2020/04/10,48756.55031243769,45834.42142065419,41877.605527595784,3956.8158930584054,,,,
48334.0,49199.0,45870.0,46714.0,9.497541010372515,457.00559847069235,242.9940659190438,2020/04/11,48766.047853448064,46291.42701912488,42091.61706014743,4199.809958977449,,,,
48338.0,49206.0,46256.0,47103.0,5.674239480271353,386.81220593254693,244.0208104605208,2020/04/12,48771.722092928336,46678.23922505743,42234.40845561946,4443.83076943797,,,,
48342.0,49209.0,46582.0,47432.0,3.375926771914237,327.11217898542236,244.6676433040111,2020/04/13,48775.09801970025,47005.35140404285,42316.85299130087,4688.498412741981,,,,
48346.0,49211.0,46855.0,47708.0,2.0024396815060754,276.45353269068437,244.99304148403917,2020/04/14,48777.100459381756,47281.80493673353,42348.31348250751,4933.49145422602,,,,
48347.0,49210.0,47088.0,47943.0,1.1852817486869753,233.53724156942917,245.0472019072995,2020/04/15,48778.28574113044,47515.34217830296,42336.80352216964,5178.53865613332,,,,
48347.0,49213.0,47285.0,48142.0,0.7006940283608856,197.22206091153203,244.87299310962226,2020/04/16,48778.986435158804,47712.564239214495,42289.15258997155,5423.411649242942,,,,
48347.0,49212.0,47452.0,48308.0,0.4139739713136805,166.5176922021492,244.50689217096806,2020/04/17,48779.40040913012,47879.081931416644,42211.16339000274,5667.91854141391,,,,
48347.0,49212.0,47590.0,48450.0,0.24456904669932555,140.5721042838195,243.97985775682628,2020/04/18,48779.64497817682,48019.65403570046,42107.75563652973,5911.898399170736,,,,
48348.0,49212.0,47709.0,48569.0,0.14455066081427503,118.65653725773154,243.3181169929785,2020/04/19,48779.78952883763,48138.310572958195,41983.09405679448,6155.216516163715,,,,
48348.0,49213.0,47809.0,48670.0,0.08550698719773209,100.15021426441672,242.54385972033197,2020/04/20,48779.87503582483,48238.46078722261,41840.70041133856,6397.760375884047,,,,
48348.0,49214.0,47892.0,48754.0,0.05063963934662752,84.52584433053562,241.67584245611306,2020/04/21,48779.925675464176,48322.98663155315,41683.550413212986,6639.43621834016,,,,
48348.0,49213.0,47964.0,48826.0,0.03003363671450643,71.33642983436584,240.72990883643797,2020/04/22,48779.95570910089,48394.32306138751,41514.156934210914,6880.166127176598,,,,
48347.0,49213.0,48024.0,48887.0,0.017842440531239845,60.20356139935757,239.71943519555225,2020/04/23,48779.97355154142,48454.52662278687,41334.641060414724,7119.88556237215,,,,
48347.0,49213.0,48074.0,48937.0,0.010619729364407249,50.80720033711259,238.6557103582909,2020/04/24,48779.984171270786,48505.33382312398,41146.79255039354,7358.541272730441,,,,
48349.0,49214.0,48117.0,48981.0,0.00633366633701371,42.87685513681936,237.54825836883356,2020/04/25,48779.99050493712,48548.2106782608,40952.121147161524,7596.089531099275,,,,
48346.0,49214.0,48153.0,49017.0,0.0037856203562114388,36.1840167250557,236.4051121501816,2020/04/26,48779.99429055748,48584.39469498586,40751.900051736404,7832.494643249456,,,,
48349.0,49214.0,48183.0,49047.0,0.002267809606564697,30.535704742105736,235.23304521472346,2020/04/27,48779.996558367086,48614.930399727964,40547.20271126379,8067.72768846418,,,,
48347.0,49212.0,48209.0,49074.0,0.0013617666336358525,25.76898014460312,234.0377676572225,2020/04/28,48779.99792013372,48640.69937987257,40338.93392375117,8301.765456121402,,,,
48348.0,49213.0,48231.0,49096.0,0.0008197062925319187,21.746290258000954,232.82409181771618,2020/04/29,48779.99873984001,48662.44567013057,40127.85612219145,8534.589547939118,,,,
