Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/03,21.0,126.0,0.0,0.0,0.0,0.0,21.0,13.0,30.0,104.0,148.0,2020-03-03,21.0,0.0,0.0
2020/03/04,103.20995290969584,137.97603985906764,82.20995290969584,11.97603985906764,0.04593819445256954,0.04593819445256954,103.16401471524327,84.0,124.0,115.0,161.0,2020-03-04,35.0,14.0,0.0
2020/03/05,139.7898603457188,162.94466460326535,36.579907436022964,24.96862474419771,0.12678042088365213,0.08084222643108259,139.66307992483516,117.0,163.0,138.0,188.0,2020-03-05,94.0,59.0,0.0
2020/03/06,171.42218953160517,195.88515323621453,31.632329185886363,32.94048863294918,0.2291133131024615,0.10233289221880937,171.1930762185027,146.0,198.0,169.0,224.0,2020-03-06,101.0,7.0,0.0
2020/03/07,207.6421587597354,236.96754549629554,36.219969228130225,41.08239226008101,0.3534740488693133,0.12436073576685178,207.28868471086608,180.0,236.0,207.0,268.0,2020-03-07,161.0,60.0,0.0
2020/03/08,251.73195076813053,287.71513346313975,44.089792008395136,50.74758796684421,0.5040772485834795,0.1506031997141662,251.22787351954705,221.0,283.0,255.0,321.0,2020-03-08,203.0,42.0,0.0
2020/03/09,305.9582951700185,350.26074119028704,54.226344401887985,62.545607727147285,0.6868462671674336,0.1827690185839541,305.2714489028511,272.0,341.0,314.0,387.0,2020-03-09,248.0,45.0,1.0
2020/03/10,372.7224160039179,427.2567233397659,66.76412083389937,76.99598214947889,0.9092105974524689,0.22236433028503533,371.81320540646544,335.0,411.0,387.0,468.0,2020-03-10,355.0,107.0,1.0
2020/03/11,454.86705113504576,521.9301564808145,82.14463513112787,94.67343314104858,1.1803126362537386,0.2711020388012697,453.686738498792,414.0,497.0,478.0,567.0,2020-03-11,500.0,145.0,2.0
2020/03/12,555.8164529062971,638.1764062313526,100.9494017712513,116.24624975053814,1.5113468718044993,0.3310342355507607,554.3051060344926,510.0,603.0,589.0,688.0,2020-03-12,599.0,99.0,2.0
2020/03/13,679.6888624145298,780.666398080047,123.87240950823275,142.48999184869433,1.9159790736449704,0.4046322018404711,677.7728833408848,629.0,731.0,727.0,836.0,2020-03-13,814.0,215.0,2.0
2020/03/14,831.4073625203312,954.9576534378039,151.71850010580135,174.29125535775688,2.4108383994317872,0.4948593257868168,828.9965241208994,775.0,888.0,895.0,1016.0,2020-03-14,961.0,147.0,3.0
2020/03/15,1016.8086278165874,1167.5987293739843,185.40126529625627,212.6410759361804,3.0160818589739016,0.6052434595421143,1013.7925459576136,955.0,1080.0,1101.0,1235.0,2020-03-15,1023.0,62.0,3.0
