Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
6.0,19.0,0.0,7.0,0.0,0.0,0.0,2020/03/05,12.0,3.0,1.0,2.0,2020-03-05,3.0,0.0,2.0
7.0,22.0,6.0,19.0,1.9301766716479243,9.183244114837539,0.1656382269359158,2020/03/06,13.930176671647924,12.183244114837539,10.017605887901624,2.165638226935916,2020-03-06,5.0,2.0,2.0
10.0,26.0,9.0,24.0,3.576499187186613,3.7208523859277314,0.28595415317074435,2020/03/07,17.506675858834537,15.90409650076527,13.45250412065861,2.45159238010666,2020-03-07,6.0,1.0,2.0
14.0,32.0,12.0,29.0,4.767242488657999,4.313265779352264,0.372998250804339,2020/03/08,22.273918347492536,20.217362280117534,17.392771649206534,2.824590630910999,2020-03-08,10.0,4.0,2.0
19.0,39.0,16.0,36.0,6.26181728384471,5.622563117660331,0.48257626337395587,2020/03/09,28.535735631337246,25.839925397777865,22.53275850349291,3.307166894284955,2020-03-09,20.0,10.0,2.0
25.0,49.0,22.0,45.0,8.214995055168558,7.374696455851154,0.626224712468225,2020/03/10,36.750730686505804,33.21462185362902,29.28123024687584,3.93339160675318,2020-03-10,33.0,13.0,3.0
35.0,61.0,31.0,56.0,10.770355558388118,9.670791543431413,0.8147944114557215,2020/03/11,47.52108624489392,42.88541339706043,38.137227378851534,4.7481860182089015,2020-03-11,49.0,16.0,3.0
47.0,77.0,41.0,71.0,14.109167143558963,12.672718186472643,1.0621341517253118,2020/03/12,61.630253388452886,55.558131583533076,49.74781141359886,5.810320169934213,2020-03-12,52.0,3.0,4.0
63.0,98.0,56.0,89.0,18.463472741130857,16.590564997390835,1.3862169184325772,2020/03/13,80.09372612958374,72.14869658092391,64.95215949255712,7.1965370883667905,2020-03-13,64.0,12.0,7.0
85.0,125.0,75.0,113.0,24.1281593952927,21.692364151134484,1.810306074905819,2020/03/14,104.22188552487644,93.8410607320584,84.83421756878579,9.00684316327261,2020-03-14,111.0,47.0,10.0
