Date,Predict_confirm,Predict_actual,Dailynew_confirm,Dailynew_actual,Remove,Dailynew_remove,Remain_confirm,Confirm_interval_down,Confirm_interval_up,Actual_interval_down,Actual_interval_up,ADate,Official_confirmed,Official_dailynew,Official_remove
2020/03/05,259.0,1036.0,0.0,0.0,5.0,0.0,254.0,228.0,291.0,973.0,1100.0,2020-03-05,259.0,0.0,5.0
2020/03/06,479.49423995442373,1126.6784592255735,220.49423995442373,90.67845922557353,17.50124865395024,12.501248653950238,461.9929913004735,437.0,523.0,1061.0,1193.0,2020-03-06,400.0,141.0,7.0
2020/03/07,688.3164318212089,1379.84089376494,208.82219186678515,253.16243453936636,36.708360086791785,19.207111432841547,651.6080717344171,637.0,740.0,1308.0,1453.0,2020-03-07,500.0,100.0,40.0
2020/03/08,932.2874880596906,1797.0351603574286,243.97105623848176,417.1942665924887,62.83695179164167,26.12859170484988,869.450536268049,873.0,992.0,1714.0,1881.0,2020-03-08,673.0,173.0,47.0
2020/03/09,1250.3815034246472,2409.5225814245887,318.0940153649566,612.4874210671601,97.51724538980133,34.680293598159665,1152.864258034846,1182.0,1320.0,2314.0,2506.0,2020-03-09,1073.0,400.0,60.0
2020/03/10,1682.8743586172843,3271.6050347395762,432.4928551926371,862.0824533149876,143.64993535360813,46.1326899638068,1539.2244232636763,1603.0,1764.0,3160.0,3384.0,2020-03-10,1695.0,622.0,67.0
2020/03/11,2276.6927759839173,4456.755891576087,593.818417366633,1185.1508568365111,205.5067644103321,61.85682905672397,2071.1860115735853,2184.0,2371.0,4326.0,4588.0,2020-03-11,2277.0,582.0,238.0
2020/03/12,3088.125692388277,6052.166480613248,811.4329164043597,1595.4105890371602,288.96331308123996,83.45654867090786,2799.162379307037,2980.0,3198.0,5900.0,6206.0,2020-03-12,3004.0,727.0,273.0
2020/03/13,4182.554372850161,8147.274117781397,1094.4286804618837,2095.1076371681493,401.76778197522515,112.80446889398519,3780.7865908749354,4056.0,4310.0,7971.0,8325.0,2020-03-13,4209.0,1205.0,326.0
2020/03/14,5629.7489334080965,10812.054495708104,1447.1945605579358,2664.780377926707,553.7210632061739,151.95328123094873,5076.027870201922,5483.0,5777.0,10608.0,11017.0,2020-03-14,6043.0,1834.0,708.0
2020/03/15,7492.821593001553,14063.527999054026,1863.0726595934566,3251.473503345922,756.5877351561347,202.86667194996085,6736.233857845418,7323.0,7663.0,13832.0,14297.0,2020-03-15,7753.0,1710.0,859.0
2020/03/16,9407.0,17826.59370381603,1914.178406998447,3763.0657047620043,880.0,123.41226484386527,8527.0,9217.0,9598.0,17565.0,18089.0,2020-03-16,9407.0,1654.0,880.0
2020/03/17,12275.932048555362,21896.94726172417,2868.9320485553617,4070.35355790814,1217.350083698613,337.35008369861293,11058.581964856749,12059.0,12494.0,21607.0,22186.0,,,,
2020/03/18,15487.3563620882,26017.48036286969,3211.424313532838,4120.53310114552,1646.748028733505,429.397945034892,13840.608333354694,15244.0,15731.0,25702.0,26334.0,,,,
2020/03/19,18908.959173655687,29823.83214509779,3421.602811567487,3806.351782228099,2174.64627047018,527.8982417366749,16734.312903185506,18640.0,19179.0,29486.0,30163.0,,,,
2020/03/20,22353.820715467526,33026.59044131175,3444.861541811839,3202.758296213964,2801.737456042037,627.0911855718573,19552.08325942549,22061.0,22647.0,32670.0,33383.0,,,,
2020/03/21,25627.629336850023,35486.726408614886,3273.808621382497,2460.135967303133,3522.076504361511,720.3390483194739,22105.552832488513,25315.0,25942.0,35117.0,35857.0,,,,
2020/03/22,28574.54719429107,37224.27388554046,2946.917857441047,1737.5474769255743,4323.871814333546,801.7953099720353,24250.675379957524,28243.0,28905.0,36847.0,37602.0,,,,
2020/03/23,31103.418159934216,38365.51013299824,2528.8709656431456,1141.2362474577822,5191.508978851355,867.6371645178087,25911.90918108286,30757.0,31450.0,37983.0,38750.0,,,,
2020/03/24,33188.81085519625,39072.187032201415,2085.392695262035,706.6768992031721,6107.959033021993,916.4500541706375,27080.851822174256,32832.0,33547.0,38685.0,39460.0,,,,
2020/03/25,34854.81557382757,39490.6232647347,1666.0047186313168,418.43623253328406,7056.8120692496195,948.853036227627,27798.003504577948,34490.0,35222.0,39102.0,39881.0,,,,
2020/03/26,36153.74443134304,39730.69553781214,1298.9288575154715,240.07227307744324,8023.57312180919,966.7610525595701,28130.17130953385,35781.0,36527.0,39340.0,40121.0,,,,
2020/03/27,37148.19358037406,39865.69305122288,994.4491490310247,134.99751341073716,8996.232748107297,972.6596262981075,28151.960832266766,36771.0,37527.0,39475.0,40258.0,,,,
2020/03/28,37899.41946305652,39940.79409378046,751.2258826824545,75.10104255758051,9965.315172024511,969.0824239172143,27934.104291032007,37517.0,38282.0,39549.0,40332.0,,,,
2020/03/29,38461.425181475934,39982.43252584743,562.0057184194156,41.63843206696765,10923.632110826078,958.3169388015667,27537.793070649856,38077.0,38847.0,39590.0,40375.0,,,,
2020/03/30,38878.933249614194,40005.568939260214,417.50806813826057,23.13641341278708,11865.915964728003,942.2838539019249,27013.01728488619,38492.0,39266.0,39614.0,40398.0,,,,
2020/03/31,39187.52936917176,40018.50622622631,308.59611955756554,12.937286966094689,12788.437864157835,922.521899429832,26399.091505013923,38799.0,39576.0,39627.0,40411.0,,,,
2020/04/01,39414.79010071881,40025.80796129085,227.26073154705227,7.301735064538661,13688.662937518942,900.2250733611072,25726.127163199868,39027.0,39805.0,39634.0,40418.0,,,,
2020/04/02,39581.706671016174,40029.97614664248,166.91657029736234,4.168185351634747,14564.961990289297,876.299052770355,25016.74468072688,39192.0,39972.0,39638.0,40422.0,,,,
2020/04/03,39704.062385484176,40032.38613374243,122.35571446800168,2.4099870999489212,15416.38113173488,851.4191414455818,24287.681253749295,39313.0,40095.0,39641.0,40425.0,,,,
2020/04/04,39793.62354215601,40033.79872995642,89.56115667183622,1.4125962139878538,16242.463004903442,826.0818731685631,23551.16053725257,39403.0,40185.0,39642.0,40425.0,,,,
2020/04/05,39859.10898406037,40034.6385447288,65.48544190435496,0.839814772378304,17043.1107424435,800.6477375400573,22815.998241616868,39468.0,40251.0,39643.0,40428.0,,,,
2020/04/06,39906.95158663817,40035.14509048977,47.84260257780261,0.5065457609744044,17818.485827813245,775.3750853697456,22088.465758824925,39516.0,40299.0,39643.0,40428.0,,,,
2020/04/07,39941.88284268954,40035.45507841807,34.93125605137175,0.30998792829632293,18568.932155882023,750.4463280687778,21372.95068680752,39550.0,40334.0,39644.0,40427.0,,,,
2020/04/08,39967.37492782829,40035.647529803115,25.492085138750554,0.19245138504629722,19294.91998809748,725.9878322154582,20672.45493973081,39576.0,40360.0,39644.0,40429.0,,,,
2020/04/09,39985.97158404293,40035.76871868854,18.596656214635004,0.12118888542318018,19997.004836828888,702.084848731407,19988.96674721404,39594.0,40378.0,39644.0,40430.0,,,,
2020/04/10,39999.53402607491,40035.84610331985,13.562442031980027,0.07738463130954187,20675.797460615428,678.7926237865395,19323.73656545948,39608.0,40392.0,39645.0,40428.0,,,,
2020/04/11,40009.42277475958,40035.89619443674,9.888748684672464,0.05009111689287238,21331.94207968751,656.1446190720817,18677.48069507207,39618.0,40402.0,39644.975000000006,40429.0,,,,
2020/04/12,40016.63162472073,40035.92905167365,7.208849961149099,0.032857236910786014,21966.10064650363,634.1585668161206,18050.5309782171,39625.0,40409.0,39645.0,40429.0,,,,
2020/04/13,40021.88608509802,40035.95088437947,5.254460377291252,0.021832705817359965,22578.941561282918,612.8409147792881,17442.944523815102,39630.0,40415.0,39644.0,40428.0,,,,
2020/04/14,40025.71557279391,40035.965574576825,3.8294876958898385,0.01469019735668553,23171.131641644977,592.1900803620592,16854.583931148933,39634.0,40418.0,39645.0,40429.0,,,,
2020/04/15,40028.506278794055,40035.97557980052,2.790706000145292,0.010005223695770837,23743.33046882501,572.1988271800328,16285.175809969045,39637.0,40421.0,39644.0,40429.0,,,,
2020/04/16,40030.53983835438,40035.98247490572,2.0335595603246475,0.006895105201692786,24296.186465673516,552.855996848506,15734.353372680864,39639.0,40423.0,39644.0,40429.0,,,,
2020/04/17,40032.02159279156,40035.98728116384,1.4817544371835538,0.004806258119060658,24830.334233686383,534.1477680128664,15201.68735910518,39641.0,40424.0,39644.0,40428.0,,,,
2020/04/18,40033.10123084119,40035.99066855499,1.0796380496249185,0.003387391145224683,25346.39280298783,516.0585693014473,14686.708427853358,39642.0,40426.0,39645.0,40428.0,,,,
2020/04/19,40033.88785635753,40035.99308156357,0.7866255163389724,0.0024130085803335533,25844.964542345075,498.57173935724495,14188.923314012452,39643.0,40427.0,39643.0,40429.0,,,,
2020/04/20,40034.46098288927,40035.994818302635,0.5731265317444922,0.0017367390682920814,26326.634544531586,481.6700021865108,13707.826438357686,39643.0,40428.0,39644.0,40429.0,,,,
2020/04/21,40034.87855355454,40035.99608083765,0.4175706652677036,0.0012625350136659108,26791.970352356137,465.335807824551,13242.908201198403,39644.0,40428.0,39645.0,40429.0,,,,
2020/04/22,40035.18278951237,40035.997007540725,0.30423595783213386,0.0009267030764021911,27241.521927237398,449.55157488126133,12793.660862274974,39644.0,40428.0,39644.0,40428.0,,,,
2020/04/23,40035.4044540372,40035.99769411183,0.22166452482633758,0.0006865711038699374,27675.82178892084,434.2998616834411,12359.582665116359,39643.0,40427.0,39643.0,40429.0,,,,
2020/04/24,40035.56596088073,40035.99820737713,0.16150684353488032,0.000513265302288346,28095.385274443433,419.5634855225944,11940.1806864373,39644.0,40429.0,39644.0,40429.0,,,,
2020/04/25,40035.683639858566,40035.99859443679,0.11767897783283843,0.00038705965562257916,28500.710878683756,405.3256042403227,11534.97276117481,39644.0,40428.0,39644.0,40429.0,,,,
2020/04/26,40035.769387935135,40035.99888878789,0.08574807656987105,0.00029435110627673566,28892.28064922501,391.5697705412531,11143.488738710126,39643.0,40429.0,39645.0,40429.0,,,,
2020/04/27,40035.831872405746,40035.99911446196,0.06248447061079787,0.00022567406995221972,29270.560615813265,378.2799665882558,10765.271256592481,39644.0,40428.0,39644.0,40428.0,,,,
2020/04/28,40035.87740759092,40035.999288845844,0.04553518517059274,0.00017438388022128493,29636.00124021667,365.4406244034035,10399.876167374248,39644.0,40428.0,39645.0,40428.0,,,,
2020/04/29,40035.91059361148,40035.99942462222,0.033186020562425256,0.00013577637582784519,29989.037876298822,353.03663608215356,10046.872717312657,39645.0,40428.0,39644.0,40428.0,,,,
2020/04/30,40035.9347817634,40035.99953111581,0.024188151917769574,0.00010649359319359064,30330.09123304561,341.05335674678645,9705.843548717789,39645.0,40428.0,39645.0,40428.0,,,,
2020/05/01,40035.952413576626,40035.999615235254,0.017631813228945248,8.411944145336747e-05,30659.567835400543,329.4766023549346,9376.384578176083,39644.0,40429.0,39644.0,40429.0,,,,
2020/05/02,40035.9652678182,40035.999682137124,0.012854241576860659,6.690187001368031e-05,30977.860479313294,318.2926439127514,9058.104788504908,39645.0,40428.0,39644.0,40429.0,,,,
2020/05/03,40035.97464043491,40035.999735698104,0.009372616710606962,5.3560979722533375e-05,31285.34867852108,307.48819920778624,8750.625961913833,39646.0,40430.0,39643.0,40428.0,,,,
2020/05/04,40035.98147564175,40035.99977885298,0.0068352068337844685,4.315487603889778e-05,31582.39910139369,297.0504228726095,8453.582374248057,39645.0,40430.0,39644.0,40428.0,,,,
2020/05/05,40035.98646140963,40035.999813838476,0.004985767882317305,3.498549631331116e-05,31869.36599676078,286.966895367088,8166.620464648851,39644.0,40428.0,39645.0,40429.0,,,,
2020/05/06,40035.99009903302,40035.99984237046,0.0036376233911141753,2.853198384400457e-05,32146.59160805865,277.2256112978721,7889.39849097437,39644.0,40429.0,39644.0,40428.0,,,,
2020/05/07,40035.99275380476,40035.99986577361,0.002654771742527373,2.3403146769851446e-05,32414.40657544101,267.8149673823609,7621.586178363752,39645.0,40428.0,39643.0,40429.0,,,,
2020/05/08,40035.994691931715,40035.9998850768,0.0019381269521545619,1.9303195585962385e-05,32673.13032571254,258.72375027152884,7362.864366219175,39644.0,40428.0,39645.0,40429.0,,,,
2020/05/09,40035.99610742829,40035.99990108403,0.0014154965756461024,1.6007230442482978e-05,32923.071450098745,249.94112438620505,7112.924657329546,39645.0,40430.0,39644.0,40428.0,,,,
2020/05/10,40035.9971417074,40035.99991442707,0.0010342791065340862,1.3343036698643118e-05,33164.52806997379,241.45661987504718,6871.469071733605,39646.0,40429.0,39643.0,40429.0,,,,
2020/05/11,40035.997897853566,40035.999925605196,0.0007561461679870263,1.1178126442246139e-05,33397.78819074268,233.26012076888583,6638.209707110887,39644.0,40429.0,39644.0,40428.0,,,,
2020/05/12,40035.99845102086,40035.99993501509,0.000553167294128798,9.409894119016826e-06,33623.13004412547,225.3418533827935,6412.868406895388,39644.0,40428.0,39645.0,40429.0,,,,
