Actual_interval_down,Actual_interval_up,Confirm_interval_down,Confirm_interval_up,Dailynew_actual,Dailynew_confirm,Dailynew_remove,Date,Predict_actual,Predict_confirm,Remain_confirm,Remove,ADate,Official_confirmed,Official_dailynew,Official_remove
95.0,138.0,19.0,40.0,0.0,0.0,0.0,2020/03/01,116.0,29.0,11.0,18.0,2020-03-01,29.0,0.0,18.0
115.0,160.0,21.0,43.0,20.975989466351677,2.966048494080244,0.1748496414293612,2020/03/02,136.97598946635168,31.966048494080244,13.791198852650883,18.17484964142936,2020-03-02,29.0,0.0,18.0
142.0,193.0,24.0,48.0,29.886763517141276,3.648138829572982,0.2185869637677662,2020/03/03,166.86275298349295,35.614187323653226,17.2207507184561,18.393436605197127,2020-03-03,36.0,7.0,22.0
181.0,237.0,28.0,53.0,41.662890391020596,4.624056873011305,0.27327295208026214,2020/03/04,208.52564337451355,40.23824419666453,21.571534639387142,18.66670955727739,2020-03-04,50.0,14.0,22.0
234.0,298.0,33.0,60.0,57.25223191768663,5.986517318869531,0.3435056053009511,2020/03/05,265.7778752922002,46.22476151553406,27.214546352955722,19.01021516257834,2020-03-05,50.0,0.0,22.0
308.0,380.0,40.0,69.0,77.84628159358931,7.858084909827788,0.4353239109008946,2020/03/06,343.6241568857895,54.08284642536185,34.63730735188261,19.445539073479235,2020-03-06,83.0,33.0,22.0
407.0,490.0,49.0,81.0,104.89680825266913,10.398046074174346,0.5566552176998982,2020/03/07,448.5209651384586,64.4808924995362,44.47869820835706,20.002194291179134,2020-03-07,93.0,10.0,23.0
541.0,637.0,61.0,96.0,140.08933521283387,13.808998455850627,0.7178524045747743,2020/03/08,588.6103003512925,78.28989095538682,57.569844259632916,20.720046695753908,2020-03-08,99.0,6.0,24.0
720.0,829.0,78.0,116.0,185.23192407081444,18.34125281901953,0.9323037638696263,2020/03/09,773.8422244221069,96.63114377440635,74.97879331478282,21.652350459623534,2020-03-09,117.0,18.0,24.0
954.0,1079.0,100.0,143.0,241.9995177996376,24.291648612897305,1.2170618279791263,2020/03/10,1015.8417422217445,120.92279238730366,98.053380099701,22.86941228760266,2020-03-10,129.0,12.0,24.0
